Repeat,Method,Mean_Jaccard,SD_pairwise_Jaccard
1,DEG-only,0.8204404291360813,0.0676467003335919
1,LASSO,0.2982834271880925,0.1104031077129904
1,NIBFS,0.9064935064935066,0.0606472752049117
1,Stability-selection,0.2845581047668334,0.0589226268998244
1,mRMR,0.6472463768115941,0.0462568900414828
2,DEG-only,0.8528138528138529,0.0447097644583828
2,LASSO,0.3661921850968503,0.1884159675891062
2,NIBFS,0.8883116883116884,0.0566201110213565
2,Stability-selection,0.338637256365451,0.1688189299891053
2,mRMR,0.6639241917502787,0.0868854772714638
3,DEG-only,0.8536796536796538,0.0627597807993003
3,LASSO,0.3150252182984631,0.1427174487410629
3,NIBFS,0.9142857142857144,0.0301169300968417
3,Stability-selection,0.340101444717685,0.1022823430446601
3,mRMR,0.6216053511705686,0.0628902604375595
4,DEG-only,0.8528138528138529,0.0447097644583828
4,LASSO,0.31452155968285,0.0685979009103152
4,NIBFS,0.9047619047619048,0.0
4,Stability-selection,0.3449076407003515,0.101615367741514
4,mRMR,0.625214913910566,0.1013700944363326
5,DEG-only,0.8796536796536797,0.0603236738792293
5,LASSO,0.2816322949444719,0.0724394679561175
5,NIBFS,0.9142857142857144,0.0301169300968417
5,Stability-selection,0.3385825613022498,0.0903575403119573
5,mRMR,0.6828316610925307,0.0622070692735652
6,DEG-only,0.9056277056277058,0.0428938095318654
6,LASSO,0.3451480707320529,0.1072077200453719
6,NIBFS,0.9142857142857144,0.0301169300968417
6,Stability-selection,0.3441343080304672,0.0967935998520913
6,mRMR,0.6333333333333333,0.0351364184463153
7,DEG-only,0.8362507058159233,0.0532004682421285
7,LASSO,0.3202136573104315,0.0813911455205475
7,NIBFS,0.9333333333333332,0.0460043706228236
7,Stability-selection,0.321360567912292,0.0912701902158572
7,mRMR,0.5816885208189555,0.1096375860650409
8,DEG-only,0.8528138528138529,0.0447097644583828
8,LASSO,0.3156682027649769,0.0798734195058084
8,NIBFS,0.8874458874458876,0.0365053698143535
8,Stability-selection,0.3450653577461142,0.0659590357631498
8,mRMR,0.5923275114579462,0.0954664307579553
9,DEG-only,0.8117824204780728,0.0608550769604037
9,LASSO,0.35945568562365,0.0731336339913513
9,NIBFS,0.9047619047619048,0.0
9,Stability-selection,0.3431394208676155,0.1445895734297264
9,mRMR,0.6377255272907447,0.0965489998728066
10,DEG-only,0.8535667231319406,0.0588866738321378
10,LASSO,0.3835340266374749,0.1224948269538244
10,NIBFS,0.8883116883116884,0.0566201110213565
10,Stability-selection,0.3553238651877662,0.1130124405660374
10,mRMR,0.6226978818283165,0.0773250376334457
