Pair_ID,N_samples,N_normal,N_cancer
BC0043,2,1,1
BC0051,2,1,1
BC0057,2,1,1
BC0087,2,1,1
BC0109,2,1,1
BC0112,2,1,1
BC0113,2,1,1
BC0117,2,1,1
BC0122,2,1,1
BC0126,2,1,1
BC0127,2,1,1
BC0138,2,1,1
BC0142,2,1,1
BC0147,2,1,1
BC0151,2,1,1
BC0152,2,1,1
BC0153,2,1,1
BC0155,2,1,1
BC0156,2,1,1
BC0158,2,1,1
BC0159,2,1,1
BC0160,2,1,1
BC0163,2,1,1
BC0164,2,1,1
BC0165,2,1,1
BC0168,2,1,1
BC0170,2,1,1
BC0171,2,1,1
BC0172,2,1,1
BC0173,2,1,1
BC0174,2,1,1
BC0177,2,1,1
BC0179,2,1,1
BC0180,2,1,1
BC0181,2,1,1
BC0183,2,1,1
BC0185,2,1,1
BC0186,2,1,1
BC0188,2,1,1
BC0190,2,1,1
BC0191,2,1,1
BC0192,2,1,1
BC0194,2,1,1
