Repeat,Method,Fold_A,Fold_B,Jaccard,Intersection,Union
1,DEG-only,1,2,0.6,15,25
1,DEG-only,1,3,0.7391304347826086,17,23
1,DEG-only,1,4,0.7391304347826086,17,23
1,DEG-only,1,5,0.7391304347826086,17,23
1,DEG-only,2,3,0.7391304347826086,17,23
1,DEG-only,2,4,0.7391304347826086,17,23
1,DEG-only,2,5,0.6,15,25
1,DEG-only,3,4,0.8181818181818182,18,22
1,DEG-only,3,5,0.7391304347826086,17,23
1,DEG-only,4,5,0.6666666666666666,16,24
1,LASSO,1,2,0.14285714285714285,5,35
1,LASSO,1,3,0.14285714285714285,5,35
1,LASSO,1,4,0.08108108108108109,3,37
1,LASSO,1,5,0.14285714285714285,5,35
1,LASSO,2,3,0.3333333333333333,10,30
1,LASSO,2,4,0.25,8,32
1,LASSO,2,5,0.25,8,32
1,LASSO,3,4,0.25,8,32
1,LASSO,3,5,0.14285714285714285,5,35
1,LASSO,4,5,0.14285714285714285,5,35
1,NIBFS,1,2,0.9047619047619048,19,21
1,NIBFS,1,3,0.9047619047619048,19,21
1,NIBFS,1,4,0.8181818181818182,18,22
1,NIBFS,1,5,1.0,20,20
1,NIBFS,2,3,0.9047619047619048,19,21
1,NIBFS,2,4,0.9047619047619048,19,21
1,NIBFS,2,5,0.9047619047619048,19,21
1,NIBFS,3,4,0.8181818181818182,18,22
1,NIBFS,3,5,0.9047619047619048,19,21
1,NIBFS,4,5,0.8181818181818182,18,22
1,mRMR,1,2,0.3333333333333333,10,30
1,mRMR,1,3,0.17647058823529413,6,34
1,mRMR,1,4,0.17647058823529413,6,34
1,mRMR,1,5,0.2903225806451613,9,31
1,mRMR,2,3,0.25,8,32
1,mRMR,2,4,0.17647058823529413,6,34
1,mRMR,2,5,0.2903225806451613,9,31
1,mRMR,3,4,0.14285714285714285,5,35
1,mRMR,3,5,0.17647058823529413,6,34
1,mRMR,4,5,0.21212121212121213,7,33
2,DEG-only,1,2,0.7391304347826086,17,23
2,DEG-only,1,3,0.7391304347826086,17,23
2,DEG-only,1,4,0.6666666666666666,16,24
2,DEG-only,1,5,0.6666666666666666,16,24
2,DEG-only,2,3,0.6666666666666666,16,24
2,DEG-only,2,4,0.6666666666666666,16,24
2,DEG-only,2,5,0.6666666666666666,16,24
2,DEG-only,3,4,0.8181818181818182,18,22
2,DEG-only,3,5,0.8181818181818182,18,22
2,DEG-only,4,5,0.8181818181818182,18,22
2,LASSO,1,2,0.25,8,32
2,LASSO,1,3,0.08108108108108109,3,37
2,LASSO,1,4,0.2903225806451613,9,31
2,LASSO,1,5,0.2903225806451613,9,31
2,LASSO,2,3,0.1111111111111111,4,36
2,LASSO,2,4,0.25,8,32
2,LASSO,2,5,0.25,8,32
2,LASSO,3,4,0.05263157894736842,2,38
2,LASSO,3,5,0.14285714285714285,5,35
2,LASSO,4,5,0.3793103448275862,11,29
2,NIBFS,1,2,0.8181818181818182,18,22
2,NIBFS,1,3,0.7391304347826086,17,23
2,NIBFS,1,4,0.9047619047619048,19,21
2,NIBFS,1,5,0.7391304347826086,17,23
2,NIBFS,2,3,0.9047619047619048,19,21
2,NIBFS,2,4,0.8181818181818182,18,22
2,NIBFS,2,5,0.7391304347826086,17,23
2,NIBFS,3,4,0.8181818181818182,18,22
2,NIBFS,3,5,0.7391304347826086,17,23
2,NIBFS,4,5,0.6666666666666666,16,24
2,mRMR,1,2,0.25,8,32
2,mRMR,1,3,0.14285714285714285,5,35
2,mRMR,1,4,0.17647058823529413,6,34
2,mRMR,1,5,0.17647058823529413,6,34
2,mRMR,2,3,0.25,8,32
2,mRMR,2,4,0.2903225806451613,9,31
2,mRMR,2,5,0.2903225806451613,9,31
2,mRMR,3,4,0.25,8,32
2,mRMR,3,5,0.21212121212121213,7,33
2,mRMR,4,5,0.25,8,32
3,DEG-only,1,2,0.8181818181818182,18,22
3,DEG-only,1,3,0.7391304347826086,17,23
3,DEG-only,1,4,0.7391304347826086,17,23
3,DEG-only,1,5,0.6,15,25
3,DEG-only,2,3,0.6666666666666666,16,24
3,DEG-only,2,4,0.7391304347826086,17,23
3,DEG-only,2,5,0.6,15,25
3,DEG-only,3,4,0.8181818181818182,18,22
3,DEG-only,3,5,0.7391304347826086,17,23
3,DEG-only,4,5,0.6666666666666666,16,24
3,LASSO,1,2,0.2903225806451613,9,31
3,LASSO,1,3,0.25,8,32
3,LASSO,1,4,0.21212121212121213,7,33
3,LASSO,1,5,0.3793103448275862,11,29
3,LASSO,2,3,0.14285714285714285,5,35
3,LASSO,2,4,0.14285714285714285,5,35
3,LASSO,2,5,0.3333333333333333,10,30
3,LASSO,3,4,0.08108108108108109,3,37
3,LASSO,3,5,0.17647058823529413,6,34
3,LASSO,4,5,0.17647058823529413,6,34
3,NIBFS,1,2,0.9047619047619048,19,21
3,NIBFS,1,3,0.8181818181818182,18,22
3,NIBFS,1,4,0.9047619047619048,19,21
3,NIBFS,1,5,0.8181818181818182,18,22
3,NIBFS,2,3,0.9047619047619048,19,21
3,NIBFS,2,4,0.8181818181818182,18,22
3,NIBFS,2,5,0.9047619047619048,19,21
3,NIBFS,3,4,0.8181818181818182,18,22
3,NIBFS,3,5,0.8181818181818182,18,22
3,NIBFS,4,5,0.7391304347826086,17,23
3,mRMR,1,2,0.25,8,32
3,mRMR,1,3,0.25,8,32
3,mRMR,1,4,0.21212121212121213,7,33
3,mRMR,1,5,0.2903225806451613,9,31
3,mRMR,2,3,0.2903225806451613,9,31
3,mRMR,2,4,0.3333333333333333,10,30
3,mRMR,2,5,0.2903225806451613,9,31
3,mRMR,3,4,0.25,8,32
3,mRMR,3,5,0.25,8,32
3,mRMR,4,5,0.21212121212121213,7,33
4,DEG-only,1,2,0.5384615384615384,14,26
4,DEG-only,1,3,0.6,15,25
4,DEG-only,1,4,0.5384615384615384,14,26
4,DEG-only,1,5,0.5384615384615384,14,26
4,DEG-only,2,3,0.9047619047619048,19,21
4,DEG-only,2,4,0.7391304347826086,17,23
4,DEG-only,2,5,0.6666666666666666,16,24
4,DEG-only,3,4,0.7391304347826086,17,23
4,DEG-only,3,5,0.6666666666666666,16,24
4,DEG-only,4,5,0.6666666666666666,16,24
4,LASSO,1,2,0.3333333333333333,10,30
4,LASSO,1,3,0.21212121212121213,7,33
4,LASSO,1,4,0.14285714285714285,5,35
4,LASSO,1,5,0.17647058823529413,6,34
4,LASSO,2,3,0.17647058823529413,6,34
4,LASSO,2,4,0.08108108108108109,3,37
4,LASSO,2,5,0.21212121212121213,7,33
4,LASSO,3,4,0.1111111111111111,4,36
4,LASSO,3,5,0.17647058823529413,6,34
4,LASSO,4,5,0.08108108108108109,3,37
4,NIBFS,1,2,0.9047619047619048,19,21
4,NIBFS,1,3,0.8181818181818182,18,22
4,NIBFS,1,4,0.8181818181818182,18,22
4,NIBFS,1,5,0.9047619047619048,19,21
4,NIBFS,2,3,0.9047619047619048,19,21
4,NIBFS,2,4,0.9047619047619048,19,21
4,NIBFS,2,5,0.9047619047619048,19,21
4,NIBFS,3,4,0.9047619047619048,19,21
4,NIBFS,3,5,0.8181818181818182,18,22
4,NIBFS,4,5,0.8181818181818182,18,22
4,mRMR,1,2,0.25,8,32
4,mRMR,1,3,0.17647058823529413,6,34
4,mRMR,1,4,0.2903225806451613,9,31
4,mRMR,1,5,0.2903225806451613,9,31
4,mRMR,2,3,0.17647058823529413,6,34
4,mRMR,2,4,0.17647058823529413,6,34
4,mRMR,2,5,0.25,8,32
4,mRMR,3,4,0.21212121212121213,7,33
4,mRMR,3,5,0.17647058823529413,6,34
4,mRMR,4,5,0.25,8,32
5,DEG-only,1,2,0.6666666666666666,16,24
5,DEG-only,1,3,0.7391304347826086,17,23
