Method,Classifier,ROC_AUC_mean,ROC_AUC_std,Brier_score_mean,Brier_score_std
DEG-only,LR,0.8930581732679628,0.03711935638136413,0.13010956399632734,0.023563173172541085
DEG-only,LightGBM,0.9555448944898075,0.02067809598364223,0.08661690960667816,0.023408788031389308
DEG-only,RF,0.9549122396603597,0.02179129041640182,0.08541663369191166,0.01666348351116953
LASSO,LR,0.8548294209562394,0.03314537287083177,0.15715755853382107,0.022466190428648856
LASSO,LightGBM,0.9365606874071949,0.022082415438046236,0.11176245656122007,0.02203967573078378
LASSO,RF,0.9344415055556055,0.02019474263125021,0.11393126287494919,0.013185813022604333
NIBFS,LR,0.8647040426402794,0.04139727041460157,0.1498117639231123,0.025271978355948535
NIBFS,LightGBM,0.9381175595371474,0.020196400164936987,0.10372089506004167,0.02398272110937148
NIBFS,RF,0.9320594758998169,0.025663779040762506,0.10809321472971142,0.01694080878976557
mRMR,LR,0.8654919168108226,0.03923582038819494,0.1464545276301262,0.02374937049361885
mRMR,LightGBM,0.9691032036975623,0.020807997637579078,0.0691720367455064,0.0261341317070769
mRMR,RF,0.968025773288279,0.02139749455616501,0.08023021280585285,0.015477946279948864
