Repeat,Method,Mean_Jaccard,SD_pairwise_Jaccard
1,DEG-only,0.7119631093544136,0.06898795302504376
1,LASSO,0.18787001287001287,0.07765640260441473
1,NIBFS,0.8883116883116884,0.0566201110213565
1,mRMR,0.22248392025431868,0.06426128176287127
2,DEG-only,0.7266139657444006,0.06947080292224075
2,LASSO,0.2097636420114612,0.10647949794754534
2,NIBFS,0.7887257669866365,0.07765233005896187
2,mRMR,0.22885646927392655,0.05000986047321646
3,DEG-only,0.7126218708827403,0.07795137656759085
3,LASSO,0.2184824014193248,0.09374828367799752
3,NIBFS,0.844908714473932,0.056852926175152405
3,mRMR,0.2628543499511241,0.03806345285583274
4,DEG-only,0.6598407389711738,0.11570053012095671
4,LASSO,0.1703117938412056,0.07480982436455501
4,NIBFS,0.8701298701298702,0.04470976445838286
4,mRMR,0.22486487263527116,0.04713476529222769
5,DEG-only,0.6847288942941118,0.08742186266144
5,LASSO,0.23422955040602095,0.10355794370738068
5,NIBFS,0.82909843779409,0.07267896179107529
5,mRMR,0.2441162095336668,0.05113471259869272
