Repeat,Fold,Train_n,Validation_n,Genes_before_fold_preprocessing,Genes_after_variance_filter,Variance_cutoff,Train_batches,Validation_batches,Validation_labels_used_for_preprocessing,Validation_samples_used_to_fit_quantile,Validation_samples_used_to_fit_ComBat,Validation_samples_used_to_fit_variance_filter,Runtime_seconds
2,1,486,122,19134,17220,0.08227825183811427,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1460.092323724
2,2,486,122,19134,17220,0.07987174235019397,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1360.6061661859999
2,3,486,122,19134,17220,0.0811571759997663,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1476.4372697750005
2,4,487,121,19134,17220,0.07912670793873605,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1331.5487080189996
2,5,487,121,19134,17220,0.08080176561023229,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1460.8144617500002
3,1,486,122,19134,17220,0.08001260551400341,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1388.0259799600008
3,2,486,122,19134,17220,0.07804640963017856,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1405.8472350329994
3,3,486,122,19134,17220,0.08182329948810203,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1295.373531176001
3,4,487,121,19134,17220,0.08335569200528486,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1428.3416214879999
3,5,487,121,19134,17220,0.08004007673077883,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304']",False,False,False,False,1496.7474192579994
4,1,486,122,19134,17220,0.07552913747621583,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1496.4780097310013
4,2,486,122,19134,17220,0.08157831330577855,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1355.7277601670012
4,3,486,122,19134,17220,0.0828287022533611,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1422.149502483
4,4,487,121,19134,17220,0.07989599754324471,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1516.6241589790006
4,5,487,121,19134,17220,0.08263624913839586,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1357.995249902
5,1,486,122,19134,17220,0.08115755662621164,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1444.7434343450004
5,2,486,122,19134,17220,0.07955798155686591,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1458.8709517479983
5,3,486,122,19134,17220,0.07705499909132903,"['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']","['GSE10780', 'GSE111662', 'GSE26910', 'GSE29044', 'GSE29431', 'GSE30010', 'GSE31138', 'GSE3744', 'GSE42568', 'GSE61304', 'GSE71053']",False,False,False,False,1384.472575926
