Repeat,Method,Fold_A,Fold_B,Intersection,Union,Jaccard
1,DEG-only,1,2,17,23,0.7391304347826086
1,DEG-only,1,3,18,22,0.8181818181818182
1,DEG-only,1,4,17,23,0.7391304347826086
1,DEG-only,1,5,18,22,0.8181818181818182
1,DEG-only,2,3,18,22,0.8181818181818182
1,DEG-only,2,4,19,21,0.9047619047619048
1,DEG-only,2,5,17,23,0.7391304347826086
1,DEG-only,3,4,19,21,0.9047619047619048
1,DEG-only,3,5,19,21,0.9047619047619048
1,DEG-only,4,5,18,22,0.8181818181818182
1,LASSO,1,2,7,33,0.21212121212121213
1,LASSO,1,3,10,30,0.3333333333333333
1,LASSO,1,4,10,30,0.3333333333333333
1,LASSO,1,5,6,34,0.17647058823529413
1,LASSO,2,3,10,30,0.3333333333333333
1,LASSO,2,4,11,29,0.3793103448275862
1,LASSO,2,5,6,34,0.17647058823529413
1,LASSO,3,4,14,26,0.5384615384615384
1,LASSO,3,5,8,32,0.25
1,LASSO,4,5,8,32,0.25
1,NIBFS,1,2,18,22,0.8181818181818182
1,NIBFS,1,3,18,22,0.8181818181818182
1,NIBFS,1,4,19,21,0.9047619047619048
1,NIBFS,1,5,19,21,0.9047619047619048
1,NIBFS,2,3,20,20,1.0
1,NIBFS,2,4,19,21,0.9047619047619048
1,NIBFS,2,5,19,21,0.9047619047619048
1,NIBFS,3,4,19,21,0.9047619047619048
1,NIBFS,3,5,19,21,0.9047619047619048
1,NIBFS,4,5,20,20,1.0
1,Stability-selection,1,2,8,32,0.25
1,Stability-selection,1,3,10,30,0.3333333333333333
1,Stability-selection,1,4,10,30,0.3333333333333333
1,Stability-selection,1,5,6,34,0.17647058823529413
1,Stability-selection,2,3,10,30,0.3333333333333333
1,Stability-selection,2,4,10,30,0.3333333333333333
1,Stability-selection,2,5,7,33,0.21212121212121213
1,Stability-selection,3,4,10,30,0.3333333333333333
1,Stability-selection,3,5,8,32,0.25
1,Stability-selection,4,5,9,31,0.2903225806451613
1,mRMR,1,2,15,25,0.6
1,mRMR,1,3,15,25,0.6
1,mRMR,1,4,15,25,0.6
1,mRMR,1,5,16,24,0.6666666666666666
1,mRMR,2,3,16,24,0.6666666666666666
1,mRMR,2,4,15,25,0.6
1,mRMR,2,5,16,24,0.6666666666666666
1,mRMR,3,4,16,24,0.6666666666666666
1,mRMR,3,5,16,24,0.6666666666666666
1,mRMR,4,5,17,23,0.7391304347826086
2,DEG-only,1,2,18,22,0.8181818181818182
2,DEG-only,1,3,18,22,0.8181818181818182
2,DEG-only,1,4,19,21,0.9047619047619048
2,DEG-only,1,5,18,22,0.8181818181818182
2,DEG-only,2,3,19,21,0.9047619047619048
2,DEG-only,2,4,18,22,0.8181818181818182
2,DEG-only,2,5,18,22,0.8181818181818182
2,DEG-only,3,4,18,22,0.8181818181818182
2,DEG-only,3,5,19,21,0.9047619047619048
2,DEG-only,4,5,19,21,0.9047619047619048
2,LASSO,1,2,12,28,0.42857142857142855
2,LASSO,1,3,5,35,0.14285714285714285
2,LASSO,1,4,11,29,0.3793103448275862
2,LASSO,1,5,14,26,0.5384615384615384
2,LASSO,2,3,6,34,0.17647058823529413
2,LASSO,2,4,14,26,0.5384615384615384
2,LASSO,2,5,15,25,0.6
2,LASSO,3,4,5,35,0.14285714285714285
2,LASSO,3,5,6,34,0.17647058823529413
2,LASSO,4,5,14,26,0.5384615384615384
2,NIBFS,1,2,19,21,0.9047619047619048
2,NIBFS,1,3,19,21,0.9047619047619048
2,NIBFS,1,4,19,21,0.9047619047619048
2,NIBFS,1,5,19,21,0.9047619047619048
2,NIBFS,2,3,19,21,0.9047619047619048
2,NIBFS,2,4,19,21,0.9047619047619048
2,NIBFS,2,5,18,22,0.8181818181818182
2,NIBFS,3,4,20,20,1.0
2,NIBFS,3,5,18,22,0.8181818181818182
2,NIBFS,4,5,18,22,0.8181818181818182
2,Stability-selection,1,2,10,30,0.3333333333333333
2,Stability-selection,1,3,6,34,0.17647058823529413
2,Stability-selection,1,4,15,25,0.6
2,Stability-selection,1,5,15,25,0.6
2,Stability-selection,2,3,7,33,0.21212121212121213
2,Stability-selection,2,4,11,29,0.3793103448275862
2,Stability-selection,2,5,10,30,0.3333333333333333
2,Stability-selection,3,4,7,33,0.21212121212121213
2,Stability-selection,3,5,4,36,0.1111111111111111
2,Stability-selection,4,5,12,28,0.42857142857142855
2,mRMR,1,2,14,26,0.5384615384615384
2,mRMR,1,3,17,23,0.7391304347826086
2,mRMR,1,4,16,24,0.6666666666666666
2,mRMR,1,5,17,23,0.7391304347826086
2,mRMR,2,3,15,25,0.6
2,mRMR,2,4,15,25,0.6
2,mRMR,2,5,14,26,0.5384615384615384
2,mRMR,3,4,17,23,0.7391304347826086
2,mRMR,3,5,17,23,0.7391304347826086
2,mRMR,4,5,17,23,0.7391304347826086
3,DEG-only,1,2,18,22,0.8181818181818182
3,DEG-only,1,3,18,22,0.8181818181818182
3,DEG-only,1,4,18,22,0.8181818181818182
3,DEG-only,1,5,18,22,0.8181818181818182
3,DEG-only,2,3,18,22,0.8181818181818182
3,DEG-only,2,4,18,22,0.8181818181818182
3,DEG-only,2,5,18,22,0.8181818181818182
3,DEG-only,3,4,20,20,1.0
3,DEG-only,3,5,19,21,0.9047619047619048
3,DEG-only,4,5,19,21,0.9047619047619048
3,LASSO,1,2,10,30,0.3333333333333333
3,LASSO,1,3,9,31,0.2903225806451613
3,LASSO,1,4,9,31,0.2903225806451613
3,LASSO,1,5,16,24,0.6666666666666666
3,LASSO,2,3,7,33,0.21212121212121213
3,LASSO,2,4,7,33,0.21212121212121213
3,LASSO,2,5,12,28,0.42857142857142855
3,LASSO,3,4,6,34,0.17647058823529413
3,LASSO,3,5,8,32,0.25
