Repeat,Method,LR_OOF_ROC_AUC,LR_OOF_Brier
1,Stability-selection,0.9906051455228323,0.022766818174413044
2,Stability-selection,0.9934192724399562,0.024652876614322465
3,Stability-selection,0.9949237479841111,0.01733378708603383
4,Stability-selection,0.9926183286250826,0.022552491512651276
5,Stability-selection,0.9941552748644349,0.022259843285248226
6,Stability-selection,0.9940037449535127,0.021394649162419184
7,Stability-selection,0.9934950373954173,0.02133107029587543
8,Stability-selection,0.993289389659166,0.023213894957359198
9,Stability-selection,0.9935058609604832,0.02458273873705133
10,Stability-selection,0.9952051606758234,0.018363561889361602
