screen_k,n_subsamples,subsample_fraction,base_selector,solver,C,selection_probability_threshold,thresholded_set_size,converged_subsamples,max_iterations_used,fixed_k_reporting,fixed_k_rule,screen_rule,Repeat,Fold,outer_seed,selector_seed,outer_train_n,outer_valid_n,runtime_seconds,outer_validation_used_for_screening_or_selection
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,1,1,42,43,486,122,1.175191411999549,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,1,2,42,44,486,122,1.1324856179999188,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,1,3,42,45,486,122,1.1707857940018584,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,1,4,42,46,487,121,1.4091546920026303,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,1,5,42,47,487,121,1.5089477540022926,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,2,1,43,48,486,122,1.5679474019998452,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,2,2,43,49,486,122,1.131974074000027,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,3,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,2,3,43,50,486,122,1.1451587099982135,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,3,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,2,4,43,51,487,121,1.1569576270012476,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,2,5,43,52,487,121,1.157533429999603,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,3,1,44,53,486,122,1.1755961580020085,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,3,2,44,54,486,122,1.1420154400002502,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,3,3,44,55,486,122,1.1778569479974976,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,3,4,44,56,487,121,1.1593806450000557,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,3,5,44,57,487,121,1.5425655199978792,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,4,1,45,58,486,122,1.5638302160004969,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,4,2,45,59,486,122,1.4902320419969328,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,4,3,45,60,486,122,1.1398182939992694,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,4,4,45,61,487,121,1.1547004509993712,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,4,5,45,62,487,121,1.1488306059982278,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,1,46,63,486,122,1.1464440099989588,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,2,46,64,486,122,1.1376748500006215,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,3,46,65,486,122,1.1351873240018904,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,4,46,66,487,121,1.1517055240001355,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,5,46,67,487,121,1.249225846000627,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,1,47,68,486,122,1.54361038800198,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,2,47,69,486,122,1.5135503530000278,False
