Repeat,Fold,Method,k,Selection_rank,Gene
1,1,Stability-selection,20,1,CTHRC1
1,1,Stability-selection,20,2,INHBA
1,1,Stability-selection,20,3,CREB5
1,1,Stability-selection,20,4,COL1A1
1,1,Stability-selection,20,5,SIX4
1,1,Stability-selection,20,6,ATF3
1,1,Stability-selection,20,7,ALDH1A2
1,1,Stability-selection,20,8,MEDAG
1,1,Stability-selection,20,9,EIF3F
1,1,Stability-selection,20,10,GSTM5
1,1,Stability-selection,20,11,BBS2
1,1,Stability-selection,20,12,IER5L
1,1,Stability-selection,20,13,LYVE1
1,1,Stability-selection,20,14,PPP1R15A
1,1,Stability-selection,20,15,EGR2
1,1,Stability-selection,20,16,BGN
1,1,Stability-selection,20,17,COL10A1
1,1,Stability-selection,20,18,SCARA5
1,1,Stability-selection,20,19,SELENOI
1,1,Stability-selection,20,20,CTSG
1,2,Stability-selection,20,1,CTHRC1
1,2,Stability-selection,20,2,INHBA
1,2,Stability-selection,20,3,CILP2
1,2,Stability-selection,20,4,BGN
1,2,Stability-selection,20,5,PCNX1
1,2,Stability-selection,20,6,GSTM5
1,2,Stability-selection,20,7,CREB5
1,2,Stability-selection,20,8,EIF3F
1,2,Stability-selection,20,9,IER5L
1,2,Stability-selection,20,10,MEDAG
1,2,Stability-selection,20,11,CXCL2
1,2,Stability-selection,20,12,POSTN
1,2,Stability-selection,20,13,GABARAPL1
1,2,Stability-selection,20,14,CCN4
1,2,Stability-selection,20,15,PLAUR
1,2,Stability-selection,20,16,GAS7
1,2,Stability-selection,20,17,CMA1
1,2,Stability-selection,20,18,BARD1
1,2,Stability-selection,20,19,PLP1
1,2,Stability-selection,20,20,KIF26B
1,3,Stability-selection,20,1,INHBA
1,3,Stability-selection,20,2,CTHRC1
1,3,Stability-selection,20,3,MEDAG
1,3,Stability-selection,20,4,PCNX1
1,3,Stability-selection,20,5,SIX4
1,3,Stability-selection,20,6,EIF3F
1,3,Stability-selection,20,7,CCDC25
1,3,Stability-selection,20,8,GAS7
1,3,Stability-selection,20,9,CCL21
1,3,Stability-selection,20,10,BARD1
1,3,Stability-selection,20,11,COL10A1
1,3,Stability-selection,20,12,CREB5
1,3,Stability-selection,20,13,COL1A1
1,3,Stability-selection,20,14,IER5L
1,3,Stability-selection,20,15,BGN
1,3,Stability-selection,20,16,S100P
1,3,Stability-selection,20,17,CXCR4
1,3,Stability-selection,20,18,TCEAL7
1,3,Stability-selection,20,19,ZBTB16
1,3,Stability-selection,20,20,MAZ
1,4,Stability-selection,20,1,CTHRC1
1,4,Stability-selection,20,2,INHBA
1,4,Stability-selection,20,3,BGN
1,4,Stability-selection,20,4,PCNX1
1,4,Stability-selection,20,5,MEDAG
1,4,Stability-selection,20,6,GABARAPL1
1,4,Stability-selection,20,7,GAS7
1,4,Stability-selection,20,8,MT1M
1,4,Stability-selection,20,9,EIF3F
1,4,Stability-selection,20,10,SIX4
1,4,Stability-selection,20,11,CREB5
1,4,Stability-selection,20,12,ATF3
