Fold,Method,Classifier,k,ROC_AUC,PR_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score
1,NIBFS,LR,20,0.8508064516129032,0.8705720853608296,0.7704918032786885,0.7704301075268818,0.7741935483870968,0.7666666666666667,0.7741935483870968,0.7741935483870968,0.5408602150537635,0.15730192511510058
1,NIBFS,RF,20,0.9307795698924731,0.950578989085042,0.8524590163934426,0.8521505376344086,0.8709677419354839,0.8333333333333334,0.84375,0.8571428571428571,0.7050596119186784,0.10879908196721311
1,NIBFS,LightGBM,20,0.9249999999999999,0.9400815242780028,0.8524590163934426,0.8518817204301075,0.8870967741935484,0.8166666666666667,0.8333333333333334,0.859375,0.706044689763086,0.1166721799018971
1,DEG-only,LR,20,0.8688172043010753,0.8888930859459869,0.819672131147541,0.8201612903225806,0.7903225806451613,0.85,0.8448275862068966,0.8166666666666667,0.6410122120573634,0.14498793081240255
1,DEG-only,RF,20,0.9350806451612903,0.9535886904123452,0.8688524590163934,0.8693548387096774,0.8387096774193549,0.9,0.896551724137931,0.8666666666666667,0.7395052723482932,0.0962541639344262
1,DEG-only,LightGBM,20,0.9279569892473118,0.9533400909096468,0.9016393442622951,0.9021505376344086,0.8709677419354839,0.9333333333333333,0.9310344827586207,0.9,0.8051673125422465,0.08831176768749496
1,mRMR,LR,20,0.8497311827956989,0.885021182419275,0.7868852459016393,0.7868279569892473,0.7903225806451613,0.7833333333333333,0.7903225806451613,0.7903225806451613,0.5736559139784946,0.15754347267885538
1,mRMR,RF,20,0.9520161290322581,0.9650670328413342,0.8852459016393442,0.886021505376344,0.8387096774193549,0.9333333333333333,0.9285714285714286,0.8813559322033898,0.7745455878531639,0.08865170491803279
1,mRMR,LightGBM,20,0.9626344086021505,0.9723315958816545,0.9098360655737705,0.9104838709677419,0.8709677419354839,0.95,0.9473684210526315,0.907563025210084,0.8226279412892167,0.07820144408816508
1,LASSO,LR,20,0.8147849462365592,0.8071795813509859,0.7786885245901639,0.7795698924731183,0.7258064516129032,0.8333333333333334,0.8181818181818182,0.7692307692307693,0.5617888545952126,0.18289061291496353
1,LASSO,RF,20,0.9245967741935484,0.9408052112788907,0.8278688524590164,0.828494623655914,0.7903225806451613,0.8666666666666667,0.8596491228070176,0.8235294117647058,0.6583178416865899,0.1224963606557377
1,LASSO,LightGBM,20,0.9419354838709677,0.9549283471245202,0.8770491803278688,0.8776881720430108,0.8387096774193549,0.9166666666666666,0.9122807017543859,0.8739495798319328,0.756903901448166,0.09773303336930113
2,NIBFS,LR,20,0.9126344086021506,0.9092184198214126,0.8278688524590164,0.8279569892473119,0.8225806451612904,0.8333333333333334,0.8360655737704918,0.8292682926829268,0.6558258357839529,0.12072032449901991
2,NIBFS,RF,20,0.9458333333333333,0.9512113007425282,0.8852459016393442,0.8846774193548387,0.9193548387096774,0.85,0.8636363636363636,0.890625,0.771848702101586,0.0994624918032787
2,NIBFS,LightGBM,20,0.9435483870967742,0.9479549279217507,0.860655737704918,0.8612903225806452,0.8225806451612904,0.9,0.8947368421052632,0.8571428571428571,0.7240418815276406,0.10958754878056953
2,DEG-only,LR,20,0.900268817204301,0.9027051637406538,0.8360655737704918,0.8354838709677419,0.8709677419354839,0.8,0.8181818181818182,0.84375,0.673142683593836,0.11842741072066408
2,DEG-only,RF,20,0.9661290322580645,0.9693599059473492,0.9016393442622951,0.9008064516129033,0.9516129032258065,0.85,0.8676470588235294,0.9076923076923077,0.8068351923532154,0.07465216393442621
2,DEG-only,LightGBM,20,0.9556451612903226,0.9594755077319974,0.8770491803278688,0.8755376344086021,0.967741935483871,0.7833333333333333,0.821917808219178,0.8888888888888888,0.7659412544919852,0.09065759535291561
2,mRMR,LR,20,0.8833333333333333,0.8670089382702539,0.8114754098360656,0.8118279569892473,0.7903225806451613,0.8333333333333334,0.8305084745762712,0.8099173553719008,0.6239075403409535,0.13489400858903602
2,mRMR,RF,20,0.971774193548387,0.9790332963331572,0.9180327868852459,0.9174731182795699,0.9516129032258065,0.8833333333333333,0.8939393939393939,0.921875,0.8376527144400859,0.07813757377049181
