Method,Classifier,k,Folds,ROC_AUC_mean,ROC_AUC_sd,ROC_AUC_min,ROC_AUC_max,PR_AUC_mean,PR_AUC_sd,PR_AUC_min,PR_AUC_max,Accuracy_mean,Accuracy_sd,Accuracy_min,Accuracy_max,Balanced_accuracy_mean,Balanced_accuracy_sd,Balanced_accuracy_min,Balanced_accuracy_max,Sensitivity_mean,Sensitivity_sd,Sensitivity_min,Sensitivity_max,Specificity_mean,Specificity_sd,Specificity_min,Specificity_max,Precision_mean,Precision_sd,Precision_min,Precision_max,F1_mean,F1_sd,F1_min,F1_max,MCC_mean,MCC_sd,MCC_min,MCC_max,Brier_score_mean,Brier_score_sd,Brier_score_min,Brier_score_max
DEG-only,LR,20,5,0.8957780088256294,0.023147519555303777,0.8688172043010753,0.9314516129032258,0.9081109217785988,0.02516595417237663,0.8882438137903064,0.9497255822956886,0.823953393849072,0.02044460419767623,0.8016528925619835,0.8524590163934426,0.8239154245354893,0.020179116979620805,0.801775956284153,0.8521505376344086,0.8251189846641989,0.0425008716602511,0.7868852459016393,0.8709677419354839,0.8227118644067797,0.01932356190475841,0.8,0.85,0.8279981715140309,0.015045874972837376,0.8135593220338984,0.8448275862068966,0.8261135307781651,0.023541322179987906,0.8,0.8571428571428571,0.6485545805081527,0.04089358160388353,0.603716885077214,0.7050596119186784,0.1275047438765468,0.014964569661326059,0.10680234621160427,0.14498793081240255
DEG-only,LightGBM,20,5,0.9528498955803135,0.016372852940845777,0.9279569892473118,0.9710382513661201,0.9639897635029824,0.008114803868917634,0.9533400909096468,0.9741740739488562,0.8930903671589215,0.010050473528892993,0.8770491803278688,0.9016393442622951,0.8930343255444313,0.010757705267964584,0.8755376344086021,0.9021505376344086,0.896351136964569,0.04239315383727162,0.8688524590163934,0.967741935483871,0.8897175141242938,0.06063011664247863,0.7833333333333333,0.9333333333333333,0.8970450876331647,0.04315569934306086,0.821917808219178,0.9310344827586207,0.8950865962665169,0.006203325098553653,0.8888888888888888,0.9032258064516129,0.7893440278505022,0.015895211848530204,0.7659412544919852,0.8051673125422465,0.08682663525982996,0.00865997742349588,0.07738933947931588,0.09851906570194319
DEG-only,RF,20,5,0.9555269608941552,0.01801216087057473,0.9350806451612903,0.976775956284153,0.9662972989454099,0.010177195275012926,0.9535886904123452,0.9791047012878468,0.8898116786343314,0.01698459180780766,0.8688524590163934,0.9090909090909091,0.8897228919622236,0.016770947102678437,0.8693548387096774,0.9091530054644809,0.8932310946589107,0.04039486027295967,0.8387096774193549,0.9516129032258065,0.8862146892655367,0.02781403041474137,0.85,0.9166666666666666,0.891104133381259,0.020442171675121322,0.8676470588235294,0.9166666666666666,0.8915517653078628,0.01822396854787403,0.8666666666666667,0.9090909090909091,0.7807104503822933,0.03414099943406781,0.7395052723482932,0.8183060109289617,0.08328203267849885,0.01147998862707677,0.07175904132231406,0.0962541639344262
LASSO,LR,20,5,0.8414597692907527,0.035107904237293645,0.8147849462365592,0.8954301075268817,0.8377349491155133,0.032729604182922124,0.8056025278962292,0.8765960018373241,0.7926703698685815,0.038017757716263735,0.7520661157024794,0.8524590163934426,0.7929721816394638,0.037783868065206914,0.7519136139967195,0.8521505376344086,0.7634584875727128,0.0742754553122519,0.6721311475409836,0.8709677419354839,0.8224858757062148,0.0496438687991053,0.7457627118644068,0.8833333333333333,0.8181659335288367,0.037299549831646316,0.7580645161290323,0.8541666666666666,0.7880020818017801,0.043409500074435066,0.7522935779816514,0.8571428571428571,0.5890719146447398,0.07456907357525998,0.503827227993439,0.7050596119186784,0.16579986492028884,0.025743636388794393,0.12427440583478894,0.18935653312055173
LASSO,LightGBM,20,5,0.9356606076359324,0.00819671509229637,0.9231182795698925,0.9420765027322404,0.9478127137549255,0.009393046568051006,0.9324730489106682,0.9549283471245202,0.8552499661292507,0.01260841994974928,0.8442622950819673,0.8770491803278688,0.8558573020582181,0.0126598557254678,0.8446236559139786,0.8776881720430108,0.8187202538339504,0.014303354389507878,0.8032786885245902,0.8387096774193549,0.8929943502824859,0.018868914678401502,0.8666666666666667,0.9166666666666666,0.8879528120018445,0.0177041389495571,0.864406779661017,0.9122807017543859,0.8518419999538086,0.012641032408806967,0.8429752066115702,0.8739495798319328,0.7131558908403591,0.025530958471881252,0.6895254023423296,0.756903901448166,0.11152249412488983,0.012694449012265829,0.09773303336930113,0.1308267282633689
LASSO,RF,20,5,0.9287568231318735,0.0052527901032526384,0.9233187534171678,0.9355191256830601,0.9411455040962838,0.0037136774402120386,0.9359419804362967,0.9464295270631897,0.8404823194689067,0.014635409250305802,0.8278688524590164,0.859504132231405,0.8409657103078215,0.014672209188474878,0.8282258064516128,0.8604428649535265,0.808937070333157,0.03210849931268788,0.7704918032786885,0.8548387096774194,0.872994350282486,0.02483675837093485,0.85,0.9,0.8686949509077065,0.020799915995985584,0.847457627118644,0.8947368421052632,0.837303732617098,0.017110299561237944,0.8235294117647058,0.8571428571428571,0.6834854008971725,0.028898409512719787,0.6567164713416416,0.7218731098108653,0.11700295109063812,0.003316277279456951,0.11384998347107439,0.1224963606557377
NIBFS,LR,20,5,0.8688848754283598,0.03208650713749254,0.8311475409836065,0.9126344086021506,0.8782548424852059,0.03526257207507304,0.8227758885508099,0.9092184198214126,0.7811272185340739,0.040527763289272684,0.743801652892562,0.8278688524590164,0.7814422614406034,0.04030684186465797,0.7438524590163935,0.8279569892473119,0.7668958223162349,0.05232272932533915,0.6935483870967742,0.8225806451612904,0.7959887005649718,0.03796172963795983,0.75,0.8333333333333334,0.7950821274618207,0.038037681410158355,0.75,0.8360655737704918,0.7803956720305724,0.04291168476644974,0.7350427350427351,0.8292682926829268,0.5632442517855123,0.08016599675413077,0.48770491803278687,0.6558258357839529,0.14687637600208253,0.01923197564010752,0.12072032449901991,0.16962185871210544
NIBFS,LightGBM,20,5,0.9398120744412276,0.010550578889578667,0.9249999999999999,0.953494623655914,0.9494764002405655,0.009818052884998853,0.9400815242780028,0.9625169006633827,0.8716840536512669,0.030094552376344074,0.8429752066115702,0.9180327868852459,0.8720155539023684,0.030448831385669433,0.8427595628415301,0.9182795698924731,0.8608672659968271,0.0370058340916322,0.8225806451612904,0.9032258064516129,0.8831638418079096,0.06324296662153911,0.8166666666666667,0.9491525423728814,0.8867945906432748,0.05443497605437696,0.828125,0.9444444444444444,0.8723721977711378,0.027963776894824304,0.848,0.9180327868852459,0.7458557893705204,0.06062512904727482,0.6866456985477302,0.8365591397849462,0.1035012457300076,0.018202397211448368,0.07443865459973041,0.11894161169421405
NIBFS,RF,20,5,0.9361155353787043,0.010932618835839573,0.9208583925642427,0.9471774193548388,0.9482893686929268,0.007435470718590073,0.9361155088070151,0.9559493454425051,0.8716976019509552,0.013857400673813478,0.8524590163934426,0.8852459016393442,0.8715800237222406,0.013804865910824922,0.8521505376344086,0.8852150537634409,0.886832363828662,0.033906956731617664,0.8387096774193549,0.9193548387096774,0.8563276836158191,0.034033745432238964,0.8166666666666667,0.8983050847457628,0.8653711514980461,0.026400436080261453,0.835820895522388,0.896551724137931,0.8753062596006146,0.013949243632180468,0.8571428571428571,0.890625,0.7447416097053859,0.02764287124194818,0.7050596119186784,0.771848702101586,0.10380147096599376,0.00473612273190968,0.0981044918032787,0.10879908196721311
mRMR,LR,20,5,0.8547101942893336,0.0423177337940832,0.8002732240437159,0.9080645161290324,0.8575365998191661,0.054361366750367235,0.7717918882066911,0.9168104713039649,0.7910716705053517,0.019578254064694198,0.7603305785123967,0.8114754098360656,0.7911998852727908,0.019689077305737657,0.7603825136612021,0.8118279569892473,0.7830777366472766,0.016199963665651577,0.7540983606557377,0.7903225806451613,0.7993220338983051,0.026395882910402544,0.7666666666666667,0.8333333333333334,0.8014886154158711,0.024561037612388807,0.7666666666666667,0.8305084745762712,0.7921194341067448,0.019212484899590293,0.7603305785123967,0.8099173553719008,0.5824180186074657,0.0394396749167842,0.5207650273224044,0.6239075403409535,0.15277439780852306,0.02451101521969215,0.12221126104901227,0.18390874405257931
