Fold,Method,k,Selection_rank,Gene
1,NIBFS,20,1,CDK1
1,NIBFS,20,2,EGFR
1,NIBFS,20,3,CCNB1
1,NIBFS,20,4,CDC20
1,NIBFS,20,5,BUB1B
1,NIBFS,20,6,FN1
1,NIBFS,20,7,EZH2
1,NIBFS,20,8,CAV1
1,NIBFS,20,9,STAT1
1,NIBFS,20,10,TOP2A
1,NIBFS,20,11,RRM2
1,NIBFS,20,12,PPARG
1,NIBFS,20,13,FGF2
1,NIBFS,20,14,GNAI1
1,NIBFS,20,15,UBE2C
1,NIBFS,20,16,IGF1
1,NIBFS,20,17,CCNB2
1,NIBFS,20,18,GNG2
1,NIBFS,20,19,KIT
1,NIBFS,20,20,CCNA2
1,DEG-only,20,1,COL11A1
1,DEG-only,20,2,SCARA5
1,DEG-only,20,3,COL10A1
1,DEG-only,20,4,VEGFD
1,DEG-only,20,5,CAVIN2
1,DEG-only,20,6,ADH1B
1,DEG-only,20,7,ABCA8
1,DEG-only,20,8,CHRDL1
1,DEG-only,20,9,INHBA
1,DEG-only,20,10,CD300LG
1,DEG-only,20,11,RRM2
1,DEG-only,20,12,TOP2A
1,DEG-only,20,13,ADAMTS5
1,DEG-only,20,14,ECRG4
1,DEG-only,20,15,FMO2
1,DEG-only,20,16,EBF1
1,DEG-only,20,17,MATN2
1,DEG-only,20,18,MMP11
1,DEG-only,20,19,MAMDC2
1,DEG-only,20,20,ITIH5
1,mRMR,20,1,VEGFD
1,mRMR,20,2,MT-ND4
1,mRMR,20,3,RPLP1
1,mRMR,20,4,TDRD12
1,mRMR,20,5,UBB
1,mRMR,20,6,COL10A1
1,mRMR,20,7,RPS12
1,mRMR,20,8,C7ORF57
1,mRMR,20,9,MAGEA6
1,mRMR,20,10,CPLX2
1,mRMR,20,11,ITIH2
1,mRMR,20,12,TPT1
1,mRMR,20,13,FABP7
1,mRMR,20,14,ZIC2
1,mRMR,20,15,RGS20
1,mRMR,20,16,KLF14
1,mRMR,20,17,KRT13
1,mRMR,20,18,RPL32
1,mRMR,20,19,CCBE1
1,mRMR,20,20,TNNC1
1,LASSO,20,1,SEL1L2
1,LASSO,20,2,RBMS3-AS3
1,LASSO,20,3,SNX19
1,LASSO,20,4,CNP
1,LASSO,20,5,CTHRC1
1,LASSO,20,6,TMEM105
1,LASSO,20,7,KRT76
1,LASSO,20,8,PCYT1B
1,LASSO,20,9,STXBP3
