Fold,Method,Classifier,k,Training_samples,Validation_samples,Subject_group_overlap,Threshold,ROC_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score,TN,FP,FN,TP
1,NIBFS,LR,20,486,122,0,0.5,0.9946236559139784,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0208981726471475,58,2,1,61
1,NIBFS,RF,20,486,122,0,0.5,0.9884408602150536,0.9590163934426228,0.9588709677419356,0.967741935483871,0.95,0.9523809523809524,0.96,0.918112216691386,0.0336593770491803,57,3,2,60
1,NIBFS,LightGBM,20,486,122,0,0.5,0.9935483870967742,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0245666268939765,58,2,1,61
1,DEG-only,LR,20,486,122,0,0.5,0.9973118279569892,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0226361714185376,58,2,2,60
1,DEG-only,RF,20,486,122,0,0.5,0.9967741935483873,0.9754098360655736,0.9755376344086022,0.967741935483871,0.9833333333333332,0.9836065573770492,0.975609756097561,0.9509474618867316,0.0215568524590163,59,1,2,60
1,DEG-only,LightGBM,20,486,122,0,0.5,0.996236559139785,0.9508196721311476,0.9508064516129032,0.9516129032258064,0.95,0.9516129032258064,0.9516129032258064,0.9016129032258065,0.0370915397476269,57,3,3,59
1,mRMR,LR,20,486,122,0,0.5,0.996774193548387,0.9672131147540984,0.9669354838709676,0.9838709677419356,0.95,0.953125,0.9682539682539684,0.9348767525975148,0.0224878795441011,57,3,1,61
1,mRMR,RF,20,486,122,0,0.5,0.996505376344086,0.9754098360655736,0.9755376344086022,0.967741935483871,0.9833333333333332,0.9836065573770492,0.975609756097561,0.9509474618867316,0.0226048196721311,59,1,2,60
1,mRMR,LightGBM,20,486,122,0,0.5,0.9967741935483873,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0214480219583678,58,2,1,61
1,LASSO,LR,20,486,122,0,0.5,0.9943548387096774,0.9426229508196722,0.94247311827957,0.9516129032258064,0.9333333333333332,0.9365079365079364,0.944,0.8853032856906978,0.0307619996380802,56,4,3,59
1,LASSO,RF,20,486,122,0,0.5,0.9942204301075268,0.9754098360655736,0.9755376344086022,0.967741935483871,0.9833333333333332,0.9836065573770492,0.975609756097561,0.9509474618867316,0.0269079016393442,59,1,2,60
1,LASSO,LightGBM,20,486,122,0,0.5,0.989516129032258,0.9590163934426228,0.9591397849462366,0.9516129032258064,0.9666666666666668,0.9672131147540984,0.959349593495935,0.918156170097534,0.0367251446423752,58,2,3,59
2,NIBFS,LR,20,486,122,0,0.5,0.9849462365591396,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.022633671534282,58,2,2,60
2,NIBFS,RF,20,486,122,0,0.5,0.9791666666666669,0.9426229508196722,0.9422043010752688,0.967741935483871,0.9166666666666666,0.9230769230769232,0.9448818897637796,0.8861970945781018,0.0437561967213114,55,5,2,60
2,NIBFS,LightGBM,20,486,122,0,0.5,0.9801075268817204,0.9344262295081968,0.9341397849462364,0.9516129032258064,0.9166666666666666,0.921875,0.9365079365079364,0.8692147124035615,0.0525307102095683,55,5,3,59
2,DEG-only,LR,20,486,122,0,0.5,0.9913978494623656,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0261696444385589,58,2,1,61
2,DEG-only,RF,20,486,122,0,0.5,0.9813172043010754,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.026591606557377,58,2,1,61
2,DEG-only,LightGBM,20,486,122,0,0.5,0.9862903225806452,0.9672131147540984,0.9669354838709676,0.9838709677419356,0.95,0.953125,0.9682539682539684,0.9348767525975148,0.0281643629677836,57,3,1,61
2,mRMR,LR,20,486,122,0,0.5,0.985483870967742,0.9672131147540984,0.9669354838709676,0.9838709677419356,0.95,0.953125,0.9682539682539684,0.9348767525975148,0.0288645258881112,57,3,1,61
2,mRMR,RF,20,486,122,0,0.5,0.9827956989247312,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0303132131147541,58,2,1,61
2,mRMR,LightGBM,20,486,122,0,0.5,0.9838709677419356,0.9590163934426228,0.9588709677419356,0.967741935483871,0.95,0.9523809523809524,0.96,0.918112216691386,0.0360671914281287,57,3,2,60
2,LASSO,LR,20,486,122,0,0.5,0.9881720430107528,0.9754098360655736,0.9755376344086022,0.967741935483871,0.9833333333333332,0.9836065573770492,0.975609756097561,0.9509474618867316,0.0198090457142132,59,1,2,60
2,LASSO,RF,20,486,122,0,0.5,0.9833333333333334,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0240760655737704,58,2,1,61
2,LASSO,LightGBM,20,486,122,0,0.5,0.9827956989247312,0.9754098360655736,0.9752688172043013,0.9838709677419356,0.9666666666666668,0.9682539682539684,0.976,0.950921147692074,0.0229603230016718,58,2,1,61
3,NIBFS,LR,20,486,122,0,0.5,0.9844086021505376,0.9426229508196722,0.9422043010752688,0.967741935483871,0.9166666666666666,0.9230769230769232,0.9448818897637796,0.8861970945781018,0.0407945711995566,55,5,2,60
3,NIBFS,RF,20,486,122,0,0.5,0.9813172043010752,0.9344262295081968,0.9344086021505376,0.935483870967742,0.9333333333333332,0.935483870967742,0.935483870967742,0.8688172043010752,0.0530789180327868,56,4,4,58
3,NIBFS,LightGBM,20,486,122,0,0.5,0.9790322580645162,0.9344262295081968,0.9344086021505376,0.935483870967742,0.9333333333333332,0.935483870967742,0.935483870967742,0.8688172043010752,0.058967705954099,56,4,4,58
3,DEG-only,LR,20,486,122,0,0.5,0.995430107526882,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0249428389108731,58,2,2,60
3,DEG-only,RF,20,486,122,0,0.5,0.988978494623656,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0323449836065573,58,2,2,60
3,DEG-only,LightGBM,20,486,122,0,0.5,0.9951612903225806,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0325154595680412,58,2,2,60
3,mRMR,LR,20,486,122,0,0.5,0.9946236559139784,0.9754098360655736,0.9755376344086022,0.967741935483871,0.9833333333333332,0.9836065573770492,0.975609756097561,0.9509474618867316,0.0204761216765303,59,1,2,60
3,mRMR,RF,20,486,122,0,0.5,0.9908602150537634,0.9590163934426228,0.9588709677419356,0.967741935483871,0.95,0.9523809523809524,0.96,0.918112216691386,0.0297848196721311,57,3,2,60
3,mRMR,LightGBM,20,486,122,0,0.5,0.9900537634408602,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0320156039414245,58,2,2,60
3,LASSO,LR,20,486,122,0,0.5,0.9938172043010752,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0311196359336072,58,2,2,60
3,LASSO,RF,20,486,122,0,0.5,0.9943548387096774,0.9672131147540984,0.9672043010752688,0.967741935483871,0.9666666666666668,0.967741935483871,0.967741935483871,0.9344086021505376,0.0272511147540983,58,2,2,60
3,LASSO,LightGBM,20,486,122,0,0.5,0.9903225806451614,0.9590163934426228,0.9591397849462366,0.9516129032258064,0.9666666666666668,0.9672131147540984,0.959349593495935,0.918156170097534,0.0392035306970892,58,2,3,59
4,NIBFS,LR,20,487,121,0,0.5,0.9950792782941498,0.975206611570248,0.9753963914707492,0.967741935483871,0.9830508474576272,0.9836065573770492,0.975609756097561,0.9505329679939114,0.0216521715561027,58,1,2,60
4,NIBFS,RF,20,487,121,0,0.5,0.9841443411700384,0.975206611570248,0.9758064516129032,0.9516129032258064,1.0,1.0,0.975206611570248,0.9516129032258064,0.0285929586776859,59,0,3,59
4,NIBFS,LightGBM,20,487,121,0,0.5,0.9846910880262438,0.9669421487603306,0.9669218151995628,0.967741935483871,0.9661016949152542,0.967741935483871,0.967741935483871,0.9338436303991252,0.025940477227133,57,2,2,60
4,DEG-only,LR,20,487,121,0,0.5,0.9994532531437944,0.9586776859504132,0.9596774193548387,0.9193548387096774,1.0,1.0,0.957983193277311,0.920614056994289,0.0235931478003457,59,0,5,57
4,DEG-only,RF,20,487,121,0,0.5,0.9942591580098415,0.9669421487603306,0.967741935483871,0.935483870967742,1.0,1.0,0.9666666666666668,0.9359957636851016,0.0258824132231404,59,0,4,58
4,DEG-only,LightGBM,20,487,121,0,0.5,0.9989065062875888,0.975206611570248,0.9758064516129032,0.9516129032258064,1.0,1.0,0.975206611570248,0.9516129032258064,0.0235399508890892,59,0,3,59
