Method,Classifier,k,ROC_AUC_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_median,ROC_AUC_min,ROC_AUC_max,Accuracy_count,Accuracy_mean,Accuracy_std,Accuracy_median,Accuracy_min,Accuracy_max,Balanced_accuracy_count,Balanced_accuracy_mean,Balanced_accuracy_std,Balanced_accuracy_median,Balanced_accuracy_min,Balanced_accuracy_max,Sensitivity_count,Sensitivity_mean,Sensitivity_std,Sensitivity_median,Sensitivity_min,Sensitivity_max,Specificity_count,Specificity_mean,Specificity_std,Specificity_median,Specificity_min,Specificity_max,Precision_count,Precision_mean,Precision_std,Precision_median,Precision_min,Precision_max,F1_count,F1_mean,F1_std,F1_median,F1_min,F1_max,MCC_count,MCC_mean,MCC_std,MCC_median,MCC_min,MCC_max,Brier_score_count,Brier_score_mean,Brier_score_std,Brier_score_median,Brier_score_min,Brier_score_max
DEG-only,LR,20,5,0.9963907387655473,0.0031606853870355654,0.9973118279569892,0.9913978494623656,0.9994532531437944,5,0.9703969651808698,0.009403144668451734,0.9672131147540984,0.9586776859504132,0.9834710743801652,5,0.9705922792173454,0.009128696527463821,0.9672043010752688,0.9596774193548387,0.9836065573770492,5,0.9611845584346908,0.024427139099552367,0.967741935483871,0.9193548387096774,0.9838709677419356,5,0.9800000000000001,0.018257418583505467,0.9666666666666668,0.9666666666666668,1.0,5,0.980747567844342,0.017576228724704254,0.9682539682539684,0.967741935483871,1.0,5,0.9705600795156772,0.009576151196942759,0.967741935483871,0.957983193277311,0.9833333333333332,5,0.9415659795949832,0.018030284617499396,0.9344086021505376,0.920614056994289,0.9674774889874774,5,0.0224906204420665,0.00433704162183363,0.0235931478003457,0.0151112996420172,0.0261696444385589
DEG-only,LightGBM,20,5,0.9948817771961747,0.00501308903622976,0.996236559139785,0.9862903225806452,0.9989065062875888,5,0.9687847175179515,0.012089380953421866,0.9672131147540984,0.9508196721311476,0.9834710743801652,5,0.9688718491098184,0.012227930662048902,0.9672043010752688,0.9508064516129032,0.9836065573770492,5,0.9644103648863036,0.013464953424319973,0.9672131147540984,0.9516129032258064,0.9838709677419356,5,0.9733333333333334,0.025276251480171832,0.9666666666666668,0.95,1.0,5,0.9744959677419354,0.024118878386338447,0.967741935483871,0.9516129032258064,1.0,5,0.9692297503734453,0.011706333428809897,0.9682539682539684,0.9516129032258064,0.9833333333333332,5,0.9379977300374286,0.024499525964715906,0.9348767525975148,0.9016129032258065,0.9674774889874774,5,0.02785139786588226,0.007482371587962803,0.0281643629677836,0.0179456761568704,0.0370915397476269
DEG-only,RF,20,5,0.9913095259435867,0.006307214476574247,0.9942591580098415,0.9813172043010754,0.9967741935483873,5,0.9736892020051483,0.006875111342235255,0.9754098360655736,0.9669421487603306,0.9834710743801652,5,0.9738718491098185,0.006736522534315127,0.9752688172043013,0.9672043010752688,0.9836065573770492,5,0.9644103648863036,0.017645900699877773,0.967741935483871,0.935483870967742,0.9838709677419356,5,0.9833333333333334,0.01666666666666664,0.9833333333333332,0.9666666666666668,1.0,5,0.9839204922229777,0.01600301039822018,0.9836065573770492,0.967741935483871,1.0,5,0.9738703383162864,0.006829339541812122,0.975609756097561,0.9666666666666668,0.9833333333333332,5,0.9479500928803845,0.013466704720098609,0.950921147692074,0.9344086021505376,0.9674774889874774,5,0.024264268689879336,0.006471140363785508,0.0258824132231404,0.0149454876033057,0.0323449836065573
LASSO,LR,20,5,0.9941757417681734,0.003798273116050437,0.9943548387096774,0.9881720430107528,0.9983597594313832,5,0.9671318249559681,0.015298889144282247,0.9672131147540984,0.9426229508196722,0.9834710743801652,5,0.9673127093248721,0.015413793722851002,0.967741935483871,0.94247311827957,0.9836065573770492,5,0.9579587519830778,0.014339235180281597,0.9672131147540984,0.935483870967742,0.967741935483871,5,0.9766666666666666,0.02788866755113583,0.9833333333333332,0.9333333333333332,1.0,5,0.9775712858737713,0.026576934205521624,0.9836065573770492,0.9365079365079364,1.0,5,0.9674703383162864,0.014743313455188464,0.967741935483871,0.944,0.9833333333333332,5,0.9348265204801092,0.030741108737790665,0.9359957636851016,0.8853032856906978,0.9674774889874774,5,0.02404484808065942,0.006757354469941966,0.0227216826131628,0.0158118765042337,0.0311196359336072
LASSO,LightGBM,20,5,0.9895212977320462,0.006039452128892921,0.989516129032258,0.9827956989247312,0.9989065062875888,5,0.9704240617802465,0.010934178744914478,0.975206611570248,0.9590163934426228,0.9834710743801652,5,0.9705922792173454,0.01096298644749391,0.9752688172043013,0.9591397849462366,0.9836065573770492,5,0.9611845584346905,0.014368945758696142,0.9516129032258064,0.9516129032258064,0.9838709677419356,5,0.9800000000000001,0.018257418583505467,0.9666666666666668,0.9666666666666668,1.0,5,0.980536039552433,0.017773164028624975,0.9682539682539684,0.9672131147540984,1.0,5,0.9706478263790903,0.010789468292479124,0.975206611570248,0.959349593495935,0.9833333333333332,5,0.9412647760200852,0.022110240314228854,0.950921147692074,0.918156170097534,0.9674774889874774,5,0.02816638661002626,0.009637363932303104,0.0257572494806684,0.0161856852283267,0.0392035306970892
LASSO,RF,20,5,0.9917580824422554,0.004732703021567678,0.9937124111536358,0.9833333333333334,0.9943548387096774,5,0.9753420945671317,0.005748655474653952,0.9754098360655736,0.9672131147540984,0.9834710743801652,5,0.9754847523356249,0.0058026395960291575,0.9755376344086022,0.9672043010752688,0.9836065573770492,5,0.9676361713379166,0.011407399837986384,0.967741935483871,0.9516129032258064,0.9838709677419356,5,0.9833333333333334,0.01666666666666664,0.9833333333333332,0.9666666666666668,1.0,5,0.9839204922229777,0.01600301039822018,0.9836065573770492,0.967741935483871,1.0,5,0.9755783272970027,0.005519649524469712,0.975609756097561,0.967741935483871,0.9833333333333332,5,0.9510735207885255,0.011695509049458647,0.9509474618867316,0.9344086021505376,0.9674774889874774,5,0.02406423953393842,0.004016240443598202,0.0247862479338842,0.017299867768595,0.0272511147540983
NIBFS,LR,20,5,0.9913743961136158,0.006236957083454572,0.9946236559139784,0.9844086021505376,0.9978142076502732,5,0.9671318249559681,0.014138788359713982,0.975206611570248,0.9426229508196722,0.9754098360655736,5,0.9670694069738609,0.014336695062155272,0.9752688172043013,0.9422043010752688,0.9753963914707492,5,0.9708619777895293,0.007275850689102152,0.967741935483871,0.9672131147540984,0.9838709677419356,5,0.963276836158192,0.027334796521959578,0.9666666666666668,0.9166666666666666,0.9833333333333332,5,0.9652025435050289,0.024787904648604017,0.9682539682539684,0.9230769230769232,0.9836065573770492,5,0.9678880385830919,0.013306902152482194,0.975206611570248,0.9448818897637796,0.976,5,0.9345212521004113,0.02791673072704878,0.9505329679939114,0.8861970945781018,0.950921147692074,5,0.024306672259900262,0.009616518383449492,0.0216521715561027,0.0155547743624125,0.0407945711995566
NIBFS,LightGBM,20,5,0.986874759117676,0.008046984825983955,0.9846910880262438,0.9790322580645162,0.9969945355191256,5,0.9589351036444926,0.023124193297457154,0.9669421487603306,0.9344262295081968,0.9834710743801652,5,0.9588691153755373,0.023214185975488754,0.9669218151995628,0.9341397849462364,0.9836065573770492,5,0.9611845584346908,0.018345011392942583,0.9672131147540984,0.935483870967742,0.9838709677419356,5,0.9565536723163841,0.032446795456785485,0.9661016949152542,0.9166666666666666,1.0,5,0.9586709549411163,0.03071559034455281,0.967741935483871,0.921875,1.0,5,0.9598134152585764,0.02243393395056732,0.967741935483871,0.935483870967742,0.9833333333333332,5,0.9180548367566626,0.04631895170816524,0.9338436303991252,0.8688172043010752,0.9674774889874774,5,0.035242946195657744,0.019395030047105254,0.025940477227133,0.0142092106935119,0.058967705954099
NIBFS,RF,20,5,0.9860127215743919,0.007051653890648599,0.9841443411700384,0.9791666666666669,0.9969945355191256,5,0.958948651944181,0.02081797757695227,0.9590163934426228,0.9344262295081968,0.9834710743801652,5,0.9589793759915388,0.021064106644376267,0.9588709677419356,0.9344086021505376,0.9836065573770492,5,0.9579587519830778,0.014339235180281601,0.9672131147540984,0.935483870967742,0.967741935483871,5,0.96,0.03836954811073782,0.95,0.9166666666666666,1.0,5,0.9621883492851235,0.036050172384631485,0.9523809523809524,0.9230769230769232,1.0,5,0.9597811411270205,0.020031499093317178,0.96,0.935483870967742,0.9833333333333332,5,0.9184433815567694,0.041854662292184236,0.918112216691386,0.8688172043010752,0.9674774889874774,5,0.03575686860858956,0.013016206757988006,0.0336593770491803,0.0196968925619834,0.0530789180327868
mRMR,LR,20,5,0.9951577648510488,0.0057876402992944895,0.996774193548387,0.985483870967742,1.0,5,0.9703969651808698,0.009403144668451734,0.9672131147540984,0.9586776859504132,0.9834710743801652,5,0.9705385157764852,0.009215367486930538,0.9669354838709676,0.9596774193548387,0.9836065573770492,5,0.9644103648863036,0.026487663805675285,0.967741935483871,0.9193548387096774,0.9838709677419356,5,0.9766666666666666,0.02527625148017187,0.9833333333333332,0.95,1.0,5,0.9779713114754098,0.02364825902928652,0.9836065573770492,0.953125,1.0,5,0.9706868438432285,0.009452370951959058,0.9682539682539684,0.957983193277311,0.9833333333333332,5,0.9417585026127056,0.017942322729643603,0.9348767525975148,0.920614056994289,0.9674774889874774,5,0.02149344938855922,0.004927122840549913,0.0204761216765303,0.0151971780694366,0.0288645258881112
