Method,Classifier,k,Samples,Threshold,ROC_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score,TN,FP,FN,TP
DEG-only,LR,20,608,0.5,0.9957355153640506,0.9703947368421053,0.9705490794557912,0.9611650485436893,0.979933110367893,0.9801980198019802,0.9705882352941176,0.9409759502743873,0.0225009441154905,293,6,12,297
DEG-only,LightGBM,20,608,0.5,0.9941228041692372,0.96875,0.9688227208277862,0.9644012944983819,0.9732441471571907,0.9738562091503268,0.9691056910569106,0.9375388988200204,0.027874781367010278,291,8,11,298
DEG-only,RF,20,608,0.5,0.9912383240791852,0.9736842105263158,0.9738394432358131,0.9644012944983819,0.9832775919732442,0.9834983498349835,0.9738562091503268,0.9475558232777206,0.02427693421052632,294,5,11,298
LASSO,LR,20,608,0.5,0.9933543310495611,0.9671052631578947,0.9672587156757693,0.9579288025889967,0.9765886287625418,0.976897689768977,0.9673202614379085,0.934396077271054,0.024060565411323814,292,7,13,296
LASSO,LightGBM,20,608,0.5,0.9903129092660541,0.9703947368421053,0.9705490794557912,0.9611650485436893,0.979933110367893,0.9801980198019802,0.9705882352941176,0.9409759502743873,0.028190054107577384,293,6,12,297
LASSO,RF,20,608,0.5,0.9921637388923163,0.975328947368421,0.9754575662131593,0.9676375404530745,0.9832775919732442,0.9835526315789473,0.9755301794453507,0.9507865048820421,0.024074177631578944,294,5,10,299
NIBFS,LR,20,608,0.5,0.9912220887315865,0.9671052631578947,0.9670422443744521,0.970873786407767,0.9632107023411371,0.9646302250803859,0.967741935483871,0.9342058338812725,0.0243254327839156,288,11,9,300
NIBFS,LightGBM,20,608,0.5,0.9868818391401759,0.9588815789473685,0.9588433938370621,0.9611650485436893,0.9565217391304348,0.9580645161290322,0.9596122778675282,0.9177414220873309,0.03529284126880035,286,13,12,297
NIBFS,RF,20,608,0.5,0.9861079542379669,0.9588815789473685,0.9588975116623913,0.9579288025889967,0.959866220735786,0.961038961038961,0.9594813614262561,0.9177503244267314,0.03579506578947369,287,12,13,296
mRMR,LR,20,608,0.5,0.9935383316556808,0.9703947368421053,0.9704949616304619,0.9644012944983819,0.9765886287625418,0.9770491803278688,0.9706840390879479,0.9408677286789378,0.021505535209189304,292,7,11,298
mRMR,LightGBM,20,608,0.5,0.9922827981080409,0.9736842105263158,0.9737312075851544,0.970873786407767,0.9765886287625418,0.9771986970684039,0.974025974025974,0.9473803864554883,0.02473192535005125,292,7,9,300
mRMR,RF,20,608,0.5,0.9926995053630766,0.9736842105263158,0.9737853254104838,0.9676375404530745,0.979933110367893,0.980327868852459,0.9739413680781759,0.947447601682271,0.02394791447368421,293,6,10,299
