Method,k,Fold_1,Fold_2,Intersection,Union,Jaccard
DEG-only,20,1,2,18,22,0.8181818181818182
DEG-only,20,1,3,18,22,0.8181818181818182
DEG-only,20,1,4,19,21,0.9047619047619048
DEG-only,20,1,5,19,21,0.9047619047619048
DEG-only,20,2,3,20,20,1.0
DEG-only,20,2,4,19,21,0.9047619047619048
DEG-only,20,2,5,18,22,0.8181818181818182
DEG-only,20,3,4,19,21,0.9047619047619048
DEG-only,20,3,5,18,22,0.8181818181818182
DEG-only,20,4,5,18,22,0.8181818181818182
LASSO,20,1,2,10,30,0.3333333333333333
LASSO,20,1,3,11,29,0.3793103448275862
LASSO,20,1,4,10,30,0.3333333333333333
LASSO,20,1,5,10,30,0.3333333333333333
LASSO,20,2,3,10,30,0.3333333333333333
LASSO,20,2,4,9,31,0.2903225806451613
LASSO,20,2,5,10,30,0.3333333333333333
LASSO,20,3,4,9,31,0.2903225806451613
LASSO,20,3,5,10,30,0.3333333333333333
LASSO,20,4,5,10,30,0.3333333333333333
NIBFS,20,1,2,19,21,0.9047619047619048
NIBFS,20,1,3,19,21,0.9047619047619048
NIBFS,20,1,4,19,21,0.9047619047619048
NIBFS,20,1,5,19,21,0.9047619047619048
NIBFS,20,2,3,19,21,0.9047619047619048
NIBFS,20,2,4,19,21,0.9047619047619048
NIBFS,20,2,5,19,21,0.9047619047619048
NIBFS,20,3,4,19,21,0.9047619047619048
NIBFS,20,3,5,20,20,1.0
NIBFS,20,4,5,19,21,0.9047619047619048
mRMR,20,1,2,14,26,0.5384615384615384
mRMR,20,1,3,16,24,0.6666666666666666
mRMR,20,1,4,15,25,0.6
mRMR,20,1,5,15,25,0.6
mRMR,20,2,3,15,25,0.6
mRMR,20,2,4,14,26,0.5384615384615384
mRMR,20,2,5,15,25,0.6
mRMR,20,3,4,16,24,0.6666666666666666
mRMR,20,3,5,14,26,0.5384615384615384
mRMR,20,4,5,15,25,0.6
