Fold,Method,k,Selection_rank,Gene
1,NIBFS,20,1,CDK1
1,NIBFS,20,2,EGFR
1,NIBFS,20,3,CCNB1
1,NIBFS,20,4,FN1
1,NIBFS,20,5,BUB1B
1,NIBFS,20,6,CDC20
1,NIBFS,20,7,EZH2
1,NIBFS,20,8,CAV1
1,NIBFS,20,9,TOP2A
1,NIBFS,20,10,STAT1
1,NIBFS,20,11,RRM2
1,NIBFS,20,12,GNAI1
1,NIBFS,20,13,PPARG
1,NIBFS,20,14,KIT
1,NIBFS,20,15,FGF2
1,NIBFS,20,16,UBE2C
1,NIBFS,20,17,CCNA2
1,NIBFS,20,18,GNG2
1,NIBFS,20,19,IGF1
1,NIBFS,20,20,MAD2L1
1,DEG-only,20,1,SCARA5
1,DEG-only,20,2,COL11A1
1,DEG-only,20,3,COL10A1
1,DEG-only,20,4,VEGFD
1,DEG-only,20,5,CAVIN2
1,DEG-only,20,6,INHBA
1,DEG-only,20,7,ABCA8
1,DEG-only,20,8,ADH1B
1,DEG-only,20,9,CHRDL1
1,DEG-only,20,10,RRM2
1,DEG-only,20,11,CD300LG
1,DEG-only,20,12,ECRG4
1,DEG-only,20,13,TOP2A
1,DEG-only,20,14,MAMDC2
1,DEG-only,20,15,ADAMTS5
1,DEG-only,20,16,FMO2
1,DEG-only,20,17,UHRF1
1,DEG-only,20,18,MMP11
1,DEG-only,20,19,LYVE1
1,DEG-only,20,20,PLIN1
1,mRMR,20,1,VEGFD
1,mRMR,20,2,MT-ND4
1,mRMR,20,3,RPS15
1,mRMR,20,4,INHBA
1,mRMR,20,5,UBB
1,mRMR,20,6,TPT1
1,mRMR,20,7,SCARA5
1,mRMR,20,8,NKX1-1
1,mRMR,20,9,COL10A1
1,mRMR,20,10,RPL32
1,mRMR,20,11,CAVIN2
1,mRMR,20,12,MT-ND2
1,mRMR,20,13,UBE2T
1,mRMR,20,14,RPLP1
1,mRMR,20,15,COL11A1
1,mRMR,20,16,MME
1,mRMR,20,17,ADAMTS5
1,mRMR,20,18,RPS12
1,mRMR,20,19,MMP11
1,mRMR,20,20,SRPX
1,LASSO,20,1,CTHRC1
1,LASSO,20,2,BPIFB2
1,LASSO,20,3,INHBA
1,LASSO,20,4,COL8A1
1,LASSO,20,5,MIER1
1,LASSO,20,6,CREB5
1,LASSO,20,7,DPP6
1,LASSO,20,8,PRR4
1,LASSO,20,9,ITGBL1
1,LASSO,20,10,COL10A1
