Repeat,Fold,Sample_ID,GEO_ID,Label,Subject_Group,Subset
1,1,GSM1501819,GSE61304,Cancer,GSE61304:GSM:GSM1501819,Validation
1,1,GSM1501821,GSE61304,Cancer,GSE61304:GSM:GSM1501821,Validation
1,1,GSM1501824,GSE61304,Cancer,GSE61304:GSM:GSM1501824,Validation
1,1,GSM1501825,GSE61304,Cancer,GSE61304:GSM:GSM1501825,Validation
1,1,GSM1501826,GSE61304,Cancer,GSE61304:GSM:GSM1501826,Validation
1,1,GSM1501832,GSE61304,Cancer,GSE61304:GSM:GSM1501832,Validation
1,1,GSM1501833,GSE61304,Cancer,GSE61304:GSM:GSM1501833,Validation
1,1,GSM1501840,GSE61304,Cancer,GSE61304:GSM:GSM1501840,Validation
1,1,GSM1501866,GSE61304,Cancer,GSE61304:GSM:GSM1501866,Validation
1,1,GSM1045191,GSE42568,Normal,GSE42568:GSM:GSM1045191,Validation
1,1,GSM1045195,GSE42568,Normal,GSE42568:GSM:GSM1045195,Validation
1,1,GSM1045196,GSE42568,Normal,GSE42568:GSM:GSM1045196,Validation
1,1,GSM1045206,GSE42568,Normal,GSE42568:GSM:GSM1045206,Validation
1,1,GSM1045213,GSE42568,Cancer,GSE42568:GSM:GSM1045213,Validation
1,1,GSM1045215,GSE42568,Cancer,GSE42568:GSM:GSM1045215,Validation
1,1,GSM1045216,GSE42568,Cancer,GSE42568:GSM:GSM1045216,Validation
1,1,GSM1045217,GSE42568,Cancer,GSE42568:GSM:GSM1045217,Validation
1,1,GSM1045221,GSE42568,Cancer,GSE42568:GSM:GSM1045221,Validation
1,1,GSM1045222,GSE42568,Cancer,GSE42568:GSM:GSM1045222,Validation
1,1,GSM1045231,GSE42568,Cancer,GSE42568:GSM:GSM1045231,Validation
1,1,GSM1045235,GSE42568,Cancer,GSE42568:GSM:GSM1045235,Validation
1,1,GSM1045243,GSE42568,Cancer,GSE42568:GSM:GSM1045243,Validation
1,1,GSM1045246,GSE42568,Cancer,GSE42568:GSM:GSM1045246,Validation
1,1,GSM1045261,GSE42568,Cancer,GSE42568:GSM:GSM1045261,Validation
1,1,GSM1045264,GSE42568,Cancer,GSE42568:GSM:GSM1045264,Validation
1,1,GSM1045284,GSE42568,Cancer,GSE42568:GSM:GSM1045284,Validation
1,1,GSM1045285,GSE42568,Cancer,GSE42568:GSM:GSM1045285,Validation
1,1,GSM1045287,GSE42568,Cancer,GSE42568:GSM:GSM1045287,Validation
1,1,GSM1045298,GSE42568,Cancer,GSE42568:GSM:GSM1045298,Validation
1,1,GSM1045300,GSE42568,Cancer,GSE42568:GSM:GSM1045300,Validation
1,1,GSM1045301,GSE42568,Cancer,GSE42568:GSM:GSM1045301,Validation
1,1,GSM1045310,GSE42568,Cancer,GSE42568:GSM:GSM1045310,Validation
1,1,GSM719639,GSE29044,Normal,GSE29044:BC196,Validation
1,1,GSM719641,GSE29044,Normal,GSE29044:BC225,Validation
1,1,GSM719642,GSE29044,Normal,GSE29044:BC273,Validation
1,1,GSM719657,GSE29044,Cancer,GSE29044:BC196,Validation
1,1,GSM719661,GSE29044,Cancer,GSE29044:BC225,Validation
1,1,GSM719663,GSE29044,Cancer,GSE29044:BC273,Validation
1,1,GSM719669,GSE29044,Cancer,GSE29044:BC376,Validation
1,1,GSM719681,GSE29044,Cancer,GSE29044:BC562,Validation
1,1,GSM719692,GSE29044,Normal,GSE29044:BC180,Validation
1,1,GSM719693,GSE29044,Normal,GSE29044:BC277,Validation
1,1,GSM719702,GSE29044,Normal,GSE29044:BC148,Validation
1,1,GSM719713,GSE29044,Cancer,GSE29044:BC148,Validation
1,1,GSM719715,GSE29044,Cancer,GSE29044:BC180,Validation
1,1,GSM719716,GSE29044,Cancer,GSE29044:BC277,Validation
1,1,GSM719722,GSE29044,Cancer,GSE29044:BC371,Validation
1,1,GSM719727,GSE29044,Cancer,GSE29044:BC431,Validation
1,1,GSM719729,GSE29044,Cancer,GSE29044:BC455,Validation
1,1,GSM719742,GSE29044,Cancer,GSE29044:BC532,Validation
1,1,GSM85492,GSE3744,Cancer,GSE3744:GSM:GSM85492,Validation
1,1,GSM85493,GSE3744,Cancer,GSE3744:GSM:GSM85493,Validation
1,1,GSM85497,GSE3744,Cancer,GSE3744:GSM:GSM85497,Validation
1,1,GSM85502,GSE3744,Cancer,GSE3744:GSM:GSM85502,Validation
1,1,GSM85515,GSE3744,Normal,GSE3744:GSM:GSM85515,Validation
1,1,GSM85516,GSE3744,Normal,GSE3744:GSM:GSM85516,Validation
1,1,GSM85519,GSE3744,Normal,GSE3744:GSM:GSM85519,Validation
1,1,GSM728613,GSE29431,Normal,GSE29431:GSM:GSM728613,Validation
1,1,GSM728614,GSE29431,Normal,GSE29431:GSM:GSM728614,Validation
1,1,GSM728621,GSE29431,Normal,GSE29431:GSM:GSM728621,Validation
1,1,GSM728624,GSE29431,Cancer,GSE29431:GSM:GSM728624,Validation
1,1,GSM728629,GSE29431,Cancer,GSE29431:GSM:GSM728629,Validation
1,1,GSM728642,GSE29431,Cancer,GSE29431:GSM:GSM728642,Validation
1,1,GSM728646,GSE29431,Cancer,GSE29431:GSM:GSM728646,Validation
1,1,GSM728659,GSE29431,Cancer,GSE29431:GSM:GSM728659,Validation
1,1,GSM728675,GSE29431,Cancer,GSE29431:GSM:GSM728675,Validation
1,1,GSM728676,GSE29431,Cancer,GSE29431:GSM:GSM728676,Validation
1,1,GSM662777,GSE26910,Cancer,GSE26910:PAIR5,Validation
1,1,GSM770820,GSE31138,Normal,GSE31138:GSM:GSM770820,Validation
1,1,GSM770822,GSE31138,Cancer,GSE31138:GSM:GSM770822,Validation
1,1,GSM770824,GSE31138,Cancer,GSE31138:GSM:GSM770824,Validation
1,1,GSM1826231,GSE71053,Cancer,GSE71053:P2,Validation
1,1,GSM1826232,GSE71053,Normal,GSE71053:P2,Validation
1,1,GSM1826233,GSE71053,Normal,GSE71053:P2,Validation
