Rank_NIBFS,Gene,Discovery_logFC,Discovery_direction,TCGA_median_paired_log2TPM_difference,TCGA_mean_tumor_log2TPM,TCGA_mean_normal_log2TPM,Direction_concordant,Paired_Wilcoxon_p,Pairs,Paired_Wilcoxon_FDR,Significant_FDR_0.05
1,CDK1,2.59023518428791,Up_in_cancer,2.615679584038162,5.110001283729756,2.4033944681351667,True,3.564607398115062e-20,113,1.1195202883196475e-19,True
2,EGFR,-2.506577114916659,Down_in_cancer,-2.6760489551354087,3.3822834761797704,5.839739451083095,True,2.8746843224949426e-18,113,3.1940936916610473e-18,True
3,CCNB1,2.35635511787514,Up_in_cancer,2.2755833298298263,5.986960764040855,3.746915949837179,True,3.4708085779159757e-20,113,1.1195202883196475e-19,True
4,BUB1B,2.146463196293154,Up_in_cancer,2.1922008191537357,3.5795840081261905,1.3537022323997674,True,4.77716806286976e-20,113,1.1195202883196475e-19,True
5,FN1,1.8176856500773624,Up_in_cancer,3.223869922516463,10.003986905019707,6.698689236874298,True,6.567541306532163e-20,113,1.1850326969322893e-19,True
6,CDC20,2.094132015440446,Up_in_cancer,2.7191573447773836,5.486993324908639,2.591693221535172,True,4.651877311234535e-20,113,1.1195202883196475e-19,True
7,EZH2,1.8658166368699765,Up_in_cancer,1.8326602302533064,4.129099160710878,2.3436478448651306,True,2.0888762157197877e-19,113,2.984108879599697e-19,True
8,STAT1,1.8548080038978745,Up_in_cancer,1.112741550767745,6.9570635283500115,5.874554147687072,True,4.328602486893614e-16,113,4.328602486893614e-16,True
9,TOP2A,3.243554635863247,Up_in_cancer,3.290540479180973,6.095054224053487,2.735201299899067,True,4.5298357944139117e-20,113,1.1195202883196475e-19,True
10,CAV1,-2.4044186665922678,Down_in_cancer,-3.0286743910096883,6.075211389694537,9.10014300990309,True,3.564607398115062e-20,113,1.1195202883196475e-19,True
11,RRM2,3.457499436219704,Up_in_cancer,2.7382488729268935,4.317320413210366,1.4391075298307492,True,3.379450542972512e-20,113,1.1195202883196475e-19,True
12,GNAI1,-1.94795241024128,Down_in_cancer,-1.6641590506388568,1.5762187781884722,3.219152779767018,True,9.616725823928005e-19,113,1.1313795086974124e-18,True
13,KIT,-2.3670230694057235,Down_in_cancer,-3.358273379797497,3.917187021624871,6.955290807286498,True,1.3918412630865044e-17,113,1.4650960664068467e-17,True
14,PPARG,-2.069140689709767,Down_in_cancer,-2.764319707116478,2.909559072192618,5.531838150165139,True,4.92400514245871e-19,113,6.565340189944947e-19,True
15,CCNA2,1.5311997784173237,Up_in_cancer,2.2343066153493876,4.538919782977382,2.1169805880085217,True,5.0378412974384133e-20,113,1.1195202883196475e-19,True
16,UBE2C,2.2081052758250146,Up_in_cancer,3.489870181032786,6.044854904842467,2.484345811914305,True,3.564607398115062e-20,113,1.1195202883196475e-19,True
17,FGF2,-2.00322175450602,Down_in_cancer,-2.560304495512624,2.0497906725372625,4.695123750948422,True,1.931378448579981e-19,113,2.971351459353817e-19,True
18,CCNB2,1.826779010759693,Up_in_cancer,2.317607219182923,4.675444711974146,2.1939214285521866,True,7.110196181593736e-20,113,1.1850326969322893e-19,True
19,MAD2L1,1.964060671129278,Up_in_cancer,1.6506029286846027,3.8619687759130548,2.174682471458197,True,6.211806266335861e-19,113,7.764757832919826e-19,True
20,FOXO1,-1.510347463926866,Down_in_cancer,-1.4507437433199453,3.902532209004048,5.428470893435595,True,5.907201369861727e-20,113,1.1814402739723454e-19,True
