Model,Metric,Estimate,CI95_low,CI95_high,Bootstrap_unit,Bootstrap_replicates_completed,Threshold
FrozenSignedPanelScore,ROC_AUC,0.9919335891612499,0.9838671783224998,0.997728874618216,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,PR_AUC,0.9919103232705946,0.9837799637753456,0.9978023417798428,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,Accuracy,0.8141592920353983,0.7699115044247787,0.8585176991150436,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,Balanced_Accuracy,0.8141592920353982,0.7699115044247787,0.8585176991150436,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,F1,0.8432835820895522,0.8129496402877698,0.8760542032395253,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,MCC,0.6768046366042658,0.6080271126331207,0.7475894714210202,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,Sensitivity,1.0,1.0,1.0,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,Specificity,0.6283185840707964,0.5398230088495575,0.7170353982300873,TCGA participant pair,2000,0.0
FrozenSignedPanelScore,Precision,0.7290322580645161,0.6848484848484848,0.7794456417624513,TCGA participant pair,2000,0.0
LR,ROC_AUC,0.9986686506382646,0.9963975252564806,0.9999216853316626,TCGA participant pair,2000,0.5
LR,PR_AUC,0.9987106316924814,0.9966323414906044,0.9999223723024375,TCGA participant pair,2000,0.5
LR,Accuracy,0.9336283185840708,0.9026548672566371,0.9646017699115044,TCGA participant pair,2000,0.5
LR,Balanced_Accuracy,0.9336283185840708,0.9026548672566372,0.9646017699115044,TCGA participant pair,2000,0.5
LR,F1,0.9377593360995851,0.9112903225806451,0.9658119658119658,TCGA participant pair,2000,0.5
LR,MCC,0.875,0.8210201423071629,0.9315409787235999,TCGA participant pair,2000,0.5
LR,Sensitivity,1.0,1.0,1.0,TCGA participant pair,2000,0.5
LR,Specificity,0.8672566371681416,0.8053097345132744,0.9292035398230089,TCGA participant pair,2000,0.5
LR,Precision,0.8828125,0.837037037037037,0.9338842975206612,TCGA participant pair,2000,0.5
RF,ROC_AUC,0.9981204479599028,0.995142532696374,0.9999216853316627,TCGA participant pair,2000,0.5
RF,PR_AUC,0.9981076206589922,0.9951684279420484,0.9999223723024376,TCGA participant pair,2000,0.5
RF,Accuracy,0.9734513274336283,0.9513274336283186,0.9911504424778761,TCGA participant pair,2000,0.5
RF,Balanced_Accuracy,0.9734513274336283,0.9513274336283186,0.9911504424778761,TCGA participant pair,2000,0.5
RF,F1,0.9732142857142857,0.9497716894977168,0.9911504424778761,TCGA participant pair,2000,0.5
RF,MCC,0.9470510024562707,0.9026902148911056,0.9824547782490285,TCGA participant pair,2000,0.5
RF,Sensitivity,0.9646017699115044,0.9292035398230089,0.9911504424778761,TCGA participant pair,2000,0.5
RF,Specificity,0.9823008849557522,0.9557522123893806,1.0,TCGA participant pair,2000,0.5
RF,Precision,0.9819819819819819,0.9553470881595882,1.0,TCGA participant pair,2000,0.5
LightGBM,ROC_AUC,0.9972589866081918,0.9934215678596601,0.9996084266583131,TCGA participant pair,2000,0.5
LightGBM,PR_AUC,0.9972685334216991,0.9935743764158816,0.9996048852572067,TCGA participant pair,2000,0.5
LightGBM,Accuracy,0.9778761061946902,0.9557522123893806,0.995575221238938,TCGA participant pair,2000,0.5
LightGBM,Balanced_Accuracy,0.9778761061946902,0.9557522123893805,0.995575221238938,TCGA participant pair,2000,0.5
LightGBM,F1,0.9781659388646288,0.9572649572649573,0.9955947136563876,TCGA participant pair,2000,0.5
LightGBM,MCC,0.9560892129252899,0.9137973410336265,0.9911892555667042,TCGA participant pair,2000,0.5
LightGBM,Sensitivity,0.9911504424778761,0.9734513274336283,1.0,TCGA participant pair,2000,0.5
LightGBM,Specificity,0.9646017699115044,0.9203539823008849,0.9911504424778761,TCGA participant pair,2000,0.5
LightGBM,Precision,0.9655172413793104,0.9262295081967213,0.9912280701754386,TCGA participant pair,2000,0.5
FrozenSignedPanelScore,Brier,0.25122603916835706,,,TCGA participant pair,0,0.0
LR,Brier,0.04929484452493286,,,TCGA participant pair,0,0.5
RF,Brier,0.04461722123893805,,,TCGA participant pair,0,0.5
LightGBM,Brier,0.022259215765545855,,,TCGA participant pair,0,0.5
