Rank_NIBFS,Gene,Discovery_logFC,Discovery_direction
1,CDK1,2.59023518428791,Up_in_cancer
2,EGFR,-2.506577114916659,Down_in_cancer
3,CCNB1,2.35635511787514,Up_in_cancer
4,BUB1B,2.146463196293154,Up_in_cancer
5,FN1,1.8176856500773624,Up_in_cancer
6,CDC20,2.094132015440446,Up_in_cancer
7,EZH2,1.8658166368699765,Up_in_cancer
8,STAT1,1.8548080038978745,Up_in_cancer
9,TOP2A,3.243554635863247,Up_in_cancer
10,CAV1,-2.4044186665922678,Down_in_cancer
11,RRM2,3.457499436219704,Up_in_cancer
12,GNAI1,-1.94795241024128,Down_in_cancer
13,KIT,-2.3670230694057235,Down_in_cancer
14,PPARG,-2.069140689709767,Down_in_cancer
15,CCNA2,1.5311997784173237,Up_in_cancer
16,UBE2C,2.2081052758250146,Up_in_cancer
17,FGF2,-2.00322175450602,Down_in_cancer
18,CCNB2,1.826779010759693,Up_in_cancer
19,MAD2L1,1.964060671129278,Up_in_cancer
20,FOXO1,-1.510347463926866,Down_in_cancer
