GSM_ID,GEO_ID,Label,Label_binary,Validation_fold
GSM1045191,GSE42568,Normal,0,4
GSM1045192,GSE42568,Normal,0,2
GSM1045193,GSE42568,Normal,0,2
GSM1045194,GSE42568,Normal,0,5
GSM1045195,GSE42568,Normal,0,4
GSM1045196,GSE42568,Normal,0,5
GSM1045197,GSE42568,Normal,0,4
GSM1045198,GSE42568,Normal,0,5
GSM1045199,GSE42568,Normal,0,3
GSM1045201,GSE42568,Normal,0,3
GSM1045202,GSE42568,Normal,0,1
GSM1045203,GSE42568,Normal,0,5
GSM1045204,GSE42568,Normal,0,3
GSM1045205,GSE42568,Normal,0,2
GSM1045206,GSE42568,Normal,0,3
GSM1045208,GSE42568,Cancer,1,1
GSM1045210,GSE42568,Cancer,1,4
GSM1045211,GSE42568,Cancer,1,4
GSM1045213,GSE42568,Cancer,1,1
GSM1045214,GSE42568,Cancer,1,3
GSM1045215,GSE42568,Cancer,1,2
GSM1045216,GSE42568,Cancer,1,3
GSM1045217,GSE42568,Cancer,1,2
GSM1045219,GSE42568,Cancer,1,1
GSM1045220,GSE42568,Cancer,1,5
GSM1045221,GSE42568,Cancer,1,1
GSM1045222,GSE42568,Cancer,1,5
GSM1045223,GSE42568,Cancer,1,1
GSM1045224,GSE42568,Cancer,1,4
GSM1045225,GSE42568,Cancer,1,3
GSM1045226,GSE42568,Cancer,1,3
GSM1045227,GSE42568,Cancer,1,3
GSM1045228,GSE42568,Cancer,1,1
GSM1045229,GSE42568,Cancer,1,3
GSM1045230,GSE42568,Cancer,1,1
GSM1045231,GSE42568,Cancer,1,1
GSM1045232,GSE42568,Cancer,1,5
GSM1045233,GSE42568,Cancer,1,2
GSM1045234,GSE42568,Cancer,1,5
GSM1045235,GSE42568,Cancer,1,5
GSM1045236,GSE42568,Cancer,1,4
GSM1045237,GSE42568,Cancer,1,4
GSM1045239,GSE42568,Cancer,1,3
GSM1045240,GSE42568,Cancer,1,4
GSM1045242,GSE42568,Cancer,1,4
GSM1045243,GSE42568,Cancer,1,3
GSM1045244,GSE42568,Cancer,1,4
GSM1045246,GSE42568,Cancer,1,3
GSM1045247,GSE42568,Cancer,1,1
GSM1045248,GSE42568,Cancer,1,4
GSM1045249,GSE42568,Cancer,1,4
GSM1045251,GSE42568,Cancer,1,1
GSM1045253,GSE42568,Cancer,1,4
GSM1045254,GSE42568,Cancer,1,1
GSM1045256,GSE42568,Cancer,1,1
GSM1045258,GSE42568,Cancer,1,3
GSM1045259,GSE42568,Cancer,1,5
GSM1045260,GSE42568,Cancer,1,4
GSM1045261,GSE42568,Cancer,1,2
GSM1045262,GSE42568,Cancer,1,3
GSM1045263,GSE42568,Cancer,1,3
GSM1045264,GSE42568,Cancer,1,2
GSM1045265,GSE42568,Cancer,1,5
GSM1045268,GSE42568,Cancer,1,3
GSM1045270,GSE42568,Cancer,1,4
GSM1045272,GSE42568,Cancer,1,5
GSM1045277,GSE42568,Cancer,1,1
GSM1045279,GSE42568,Cancer,1,2
GSM1045280,GSE42568,Cancer,1,3
GSM1045281,GSE42568,Cancer,1,1
GSM1045282,GSE42568,Cancer,1,4
GSM1045283,GSE42568,Cancer,1,2
GSM1045284,GSE42568,Cancer,1,4
GSM1045285,GSE42568,Cancer,1,4
GSM1045286,GSE42568,Cancer,1,2
GSM1045287,GSE42568,Cancer,1,4
GSM1045288,GSE42568,Cancer,1,1
GSM1045289,GSE42568,Cancer,1,5
GSM1045290,GSE42568,Cancer,1,3
GSM1045295,GSE42568,Cancer,1,2
GSM1045297,GSE42568,Cancer,1,3
GSM1045298,GSE42568,Cancer,1,4
GSM1045300,GSE42568,Cancer,1,5
GSM1045301,GSE42568,Cancer,1,5
GSM1045303,GSE42568,Cancer,1,3
GSM1045304,GSE42568,Cancer,1,5
GSM1045305,GSE42568,Cancer,1,1
GSM1045306,GSE42568,Cancer,1,4
GSM1045308,GSE42568,Cancer,1,5
GSM1045309,GSE42568,Cancer,1,1
GSM1045310,GSE42568,Cancer,1,2
GSM1045311,GSE42568,Cancer,1,1
GSM1501819,GSE61304,Cancer,1,1
GSM1501820,GSE61304,Normal,0,4
GSM1501821,GSE61304,Cancer,1,4
GSM1501822,GSE61304,Cancer,1,5
GSM1501824,GSE61304,Cancer,1,1
GSM1501825,GSE61304,Cancer,1,2
GSM1501826,GSE61304,Cancer,1,1
GSM1501827,GSE61304,Cancer,1,3
GSM1501828,GSE61304,Cancer,1,1
GSM1501829,GSE61304,Cancer,1,4
GSM1501830,GSE61304,Cancer,1,3
GSM1501831,GSE61304,Cancer,1,5
GSM1501832,GSE61304,Cancer,1,2
GSM1501833,GSE61304,Cancer,1,5
GSM1501834,GSE61304,Cancer,1,5
GSM1501835,GSE61304,Cancer,1,5
GSM1501836,GSE61304,Cancer,1,5
GSM1501837,GSE61304,Cancer,1,3
GSM1501839,GSE61304,Cancer,1,3
GSM1501840,GSE61304,Cancer,1,3
GSM1501841,GSE61304,Cancer,1,4
GSM1501842,GSE61304,Cancer,1,5
GSM1501843,GSE61304,Cancer,1,3
GSM1501844,GSE61304,Cancer,1,4
GSM1501845,GSE61304,Cancer,1,1
GSM1501846,GSE61304,Cancer,1,2
GSM1501847,GSE61304,Cancer,1,2
GSM1501848,GSE61304,Cancer,1,3
GSM1501850,GSE61304,Cancer,1,2
GSM1501851,GSE61304,Cancer,1,2
