Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,mitotic cell cycle phase transition,3.3107019418367026e-10,11,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;CCNA2;UBE2C;CCNB2;MAD2L1,0.55,9.480079916451892
GO:BP,cell cycle phase transition,1.344603277170604e-09,11,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;CCNA2;UBE2C;CCNB2;MAD2L1,0.55,8.871405834584065
GO:BP,mitotic cell cycle process,1.344603277170604e-09,12,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;GNAI1;CCNA2;UBE2C;CCNB2;MAD2L1,0.6,8.871405834584065
GO:BP,fibroblast proliferation,4.5012944153295754e-09,7,CDK1;EGFR;CCNB1;FN1;CAV1;PPARG;CCNA2,0.35,8.346662580313826
GO:BP,cell division,4.5012944153295754e-09,11,CDK1;CCNB1;BUB1B;CDC20;TOP2A;GNAI1;CCNA2;UBE2C;FGF2;CCNB2;MAD2L1,0.55,8.346662580313826
GO:BP,mitotic cell cycle,4.9922916444958215e-09,12,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;GNAI1;CCNA2;UBE2C;CCNB2;MAD2L1,0.6,8.301700051551698
GO:BP,positive regulation of cell cycle phase transition,6.230940973289979e-09,7,CDK1;EGFR;CCNB1;CDC20;EZH2;RRM2;UBE2C,0.35,8.205446362867509
GO:BP,cell cycle,7.063930995849616e-09,14,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;TOP2A;RRM2;GNAI1;CCNA2;UBE2C;FGF2;CCNB2;MAD2L1,0.7,8.150953551824049
GO:BP,regulation of mitotic cell cycle phase transition,7.063930995849616e-09,9,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;UBE2C;MAD2L1,0.45,8.150953551824049
GO:BP,cell cycle process,7.063930995849616e-09,13,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;TOP2A;RRM2;GNAI1;CCNA2;UBE2C;CCNB2;MAD2L1,0.65,8.150953551824049
GO:BP,positive regulation of cell cycle process,2.0252955921333676e-08,8,CDK1;EGFR;CCNB1;CDC20;EZH2;RRM2;UBE2C;MAD2L1,0.4,7.693511582491852
GO:BP,regulation of fibroblast proliferation,4.8619002009408095e-08,6,EGFR;CCNB1;FN1;CAV1;PPARG;CCNA2,0.3,7.313193960059845
GO:BP,regulation of cell cycle phase transition,5.1122923874686163e-08,9,CDK1;EGFR;CCNB1;BUB1B;CDC20;EZH2;RRM2;UBE2C;MAD2L1,0.45,7.291384315523976
GO:BP,positive regulation of mitotic cell cycle phase transition,8.075031552453163e-08,6,CDK1;EGFR;CCNB1;CDC20;RRM2;UBE2C,0.3,7.092855772027258
GO:BP,organelle fission,8.075031552453163e-08,9,CDK1;CCNB1;BUB1B;CDC20;TOP2A;PPARG;UBE2C;CCNB2;MAD2L1,0.45,7.092855772027258
GO:BP,nuclear chromosome segregation,8.600020902499662e-08,8,CDK1;CCNB1;BUB1B;CDC20;TOP2A;UBE2C;CCNB2;MAD2L1,0.4,7.065500493194894
