GSM_ID,GEO_ID,Label,Sample_title,Subject_Group,Group_Confidence,Group_Basis,Group_samples,Group_labels,Set,Validation_fold,Spans_development_heldout,Spans_primary_CV_folds
GSM1501818,GSE61304,Cancer,"breast tumor epithelium,1",GSE61304:GSM:GSM1501818,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501819,GSE61304,Cancer,"breast tumor epithelium,55",GSE61304:GSM:GSM1501819,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501820,GSE61304,Normal,"normal breast epithelium,1",GSE61304:GSM:GSM1501820,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Normal,Model-development,4.0,False,False
GSM1501821,GSE61304,Cancer,"breast tumor epithelium,2",GSE61304:GSM:GSM1501821,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
GSM1501822,GSE61304,Cancer,"breast tumor epithelium,3",GSE61304:GSM:GSM1501822,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,5.0,False,False
GSM1501823,GSE61304,Cancer,"breast tumor epithelium,4",GSE61304:GSM:GSM1501823,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Post-harmonization held-out,,False,False
GSM1501824,GSE61304,Cancer,"breast tumor epithelium,5",GSE61304:GSM:GSM1501824,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501825,GSE61304,Cancer,"breast tumor epithelium,6",GSE61304:GSM:GSM1501825,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,2.0,False,False
GSM1501826,GSE61304,Cancer,"breast tumor epithelium,7",GSE61304:GSM:GSM1501826,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501827,GSE61304,Cancer,"breast tumor epithelium,8",GSE61304:GSM:GSM1501827,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,3.0,False,False
GSM1501828,GSE61304,Cancer,"breast tumor epithelium,9",GSE61304:GSM:GSM1501828,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,1.0,False,False
GSM1501829,GSE61304,Cancer,"breast tumor epithelium,56",GSE61304:GSM:GSM1501829,conservative/unknown,no shared subject identifier established from provided metadata; GSM retained as unique group,1,Cancer,Model-development,4.0,False,False
