Rank_NIBFS,Gene,Discovery_direction,GSE15852_direction,GSE15852_concordant,GSE70947_concordant,TCGA_concordant
1,CDK1,Up,Up,True,True,True
2,EGFR,Down,Down,True,True,True
3,CCNB1,Up,Up,True,True,True
4,BUB1B,Up,Up,True,True,True
5,FN1,Up,Up,True,True,True
6,CDC20,Up,Up,True,True,True
7,EZH2,Up,Up,True,True,True
8,STAT1,Up,Up,True,True,True
9,TOP2A,Up,Up,True,True,True
10,CAV1,Down,Down,True,True,True
11,RRM2,Up,Up,True,True,True
12,GNAI1,Down,Down,True,True,True
13,KIT,Down,Up,False,True,True
14,PPARG,Down,Down,True,True,True
15,CCNA2,Up,Up,True,True,True
16,UBE2C,Up,Up,True,True,True
17,FGF2,Down,Down,True,True,True
18,CCNB2,Up,Up,True,True,True
19,MAD2L1,Up,Up,True,True,True
20,FOXO1,Down,Down,True,True,True
