Setting,Repeat,Fold,Nonzero_coefficients,Rank20_abs_coefficient,Top20_all_nonzero
Primary 5-fold,,1,572.0,0.0767466418016342,True
Primary 5-fold,,2,569.0,0.078614385931598,True
Primary 5-fold,,3,633.0,0.0825341270265334,True
Primary 5-fold,,4,545.0,0.0821909533340185,True
Primary 5-fold,,5,511.0,0.0712748791002191,True
Repeated 10x5,1.0,1,,0.0769206198201023,True
Repeated 10x5,1.0,2,,0.07860367530424,True
Repeated 10x5,1.0,3,,0.0823922956701536,True
Repeated 10x5,1.0,4,,0.0822904481481209,True
Repeated 10x5,1.0,5,,0.0711582937965265,True
Repeated 10x5,2.0,1,,0.0835983252022019,True
Repeated 10x5,2.0,2,,0.076020150533671,True
Repeated 10x5,2.0,3,,0.0639159230174802,True
Repeated 10x5,2.0,4,,0.076239322002887,True
Repeated 10x5,2.0,5,,0.0815456458884619,True
Repeated 10x5,3.0,1,,0.0894005101781154,True
Repeated 10x5,3.0,2,,0.0749995813751215,True
Repeated 10x5,3.0,3,,0.0746961828863155,True
Repeated 10x5,3.0,4,,0.0725666512071673,True
Repeated 10x5,3.0,5,,0.0790307401334539,True
Repeated 10x5,4.0,1,,0.0822115860427094,True
Repeated 10x5,4.0,2,,0.0831637914048904,True
Repeated 10x5,4.0,3,,0.0768566303332972,True
Repeated 10x5,4.0,4,,0.0703700797574616,True
Repeated 10x5,4.0,5,,0.0803115864601676,True
Repeated 10x5,5.0,1,,0.0731688237426613,True
Repeated 10x5,5.0,2,,0.0774051009537206,True
Repeated 10x5,5.0,3,,0.0710416599229114,True
Repeated 10x5,5.0,4,,0.0760267335224415,True
Repeated 10x5,5.0,5,,0.0818512584844136,True
Repeated 10x5,6.0,1,,0.0810947608717174,True
Repeated 10x5,6.0,2,,0.0843446787276479,True
Repeated 10x5,6.0,3,,0.0734832644229148,True
Repeated 10x5,6.0,4,,0.0872067992823861,True
Repeated 10x5,6.0,5,,0.0763452938770371,True
Repeated 10x5,7.0,1,,0.0777731733282943,True
Repeated 10x5,7.0,2,,0.0730143335741565,True
Repeated 10x5,7.0,3,,0.078089329755164,True
Repeated 10x5,7.0,4,,0.0859735685491418,True
Repeated 10x5,7.0,5,,0.0812494689292929,True
Repeated 10x5,8.0,1,,0.0820481294408108,True
Repeated 10x5,8.0,2,,0.07462394952666,True
Repeated 10x5,8.0,3,,0.0771185332551182,True
Repeated 10x5,8.0,4,,0.0830676518536216,True
Repeated 10x5,8.0,5,,0.0878674937869715,True
Repeated 10x5,9.0,1,,0.0802136678933363,True
Repeated 10x5,9.0,2,,0.0819802487905919,True
Repeated 10x5,9.0,3,,0.0839921610452609,True
Repeated 10x5,9.0,4,,0.0814064485277416,True
Repeated 10x5,9.0,5,,0.0701077418540025,True
Repeated 10x5,10.0,1,,0.0825309710878728,True
Repeated 10x5,10.0,2,,0.078972972114814,True
Repeated 10x5,10.0,3,,0.0860333701127475,True
Repeated 10x5,10.0,4,,0.0777635526416051,True
Repeated 10x5,10.0,5,,0.0810787511869512,True
